from	to	similarity	from_parent	to_parent	edgename	from_max	from_max_diff	similarity_from	to_max	to_max_diff	similarity_to	edge_occ	from_occ	to_occ	edge_id
C4-127 Mid-1 GABA-4 HMX3 HMCN1	C465-231: Cck.Gal.Hmcn1.GABA-1	0.770437495194605	C3-56 Mid-1 GABA-4 HMX3	C286-143: Gal.Hmcn1.GABA-1	C4-127 Mid-1 GABA-4 HMX3 HMCN1_C465-231: Cck.Gal.Hmcn1.GABA-1	0.812373752241793	0	0.812373752241793	0.854310009288981	0.0419362570471884	0.770437495194605	1	1	2	C4-127 Mid-1 GABA-4 HMX3 HMCN1_C465-231: Cck.Gal.Hmcn1.GABA-1
C4-128 Mid-1 GABA-4 HMX3 HMCN1	C465-231: Cck.Gal.Hmcn1.GABA-1	0.742105690897201	C3-56 Mid-1 GABA-4 HMX3	C286-143: Gal.Hmcn1.GABA-1	C4-128 Mid-1 GABA-4 HMX3 HMCN1_C465-231: Cck.Gal.Hmcn1.GABA-1	0.798207850093091	0	0.798207850093091	0.854310009288981	0.0561021591958901	0.742105690897201	1	1	2	C4-128 Mid-1 GABA-4 HMX3 HMCN1_C465-231: Cck.Gal.Hmcn1.GABA-1
C4-129 Mid-1 GABA-4 HMX3 CYSLTR2	C465-268: Csta2.Hmx2.Gal.Nts.GABA-1	0.825663305418852	C3-56 Mid-1 GABA-4 HMX3	C286-167: Hmx2.Gal.Nts.GABA-1	C4-129 Mid-1 GABA-4 HMX3 CYSLTR2_C465-268: Csta2.Hmx2.Gal.Nts.GABA-1	0.868179014829244	0	0.868179014829244	0.910694724239636	0.0425157094103921	0.825663305418852	1	1	3	C4-129 Mid-1 GABA-4 HMX3 CYSLTR2_C465-268: Csta2.Hmx2.Gal.Nts.GABA-1
C4-13 Pre-1 GABA-8 DRD2 EYA2	C465-172: Nms.Vip.Vipr2.GABA-2	0.744633315105246	C3-25 Pre-1 GABA-8 DRD2	C286-106: Vip.Vipr2.GABA-2	C4-13 Pre-1 GABA-8 DRD2 EYA2_C465-172: Nms.Vip.Vipr2.GABA-2	0.744633315105246	0	0.744633315105246	0.744633315105246	0	0.744633315105246	1	1	1	C4-13 Pre-1 GABA-8 DRD2 EYA2_C465-172: Nms.Vip.Vipr2.GABA-2
C4-130 Mid-1 GABA-5 TRPC4 NPSR1	C465-272: Gpr50.Nts.GABA-1	0.88338862933027	C3-57 Mid-1 GABA-5 TRPC4	C286-169: Gpr50.Nts.GABA-1	C4-130 Mid-1 GABA-5 TRPC4 NPSR1_C465-272: Gpr50.Nts.GABA-1	0.88338862933027	0	0.88338862933027	0.88338862933027	0	0.88338862933027	1	1	2	C4-130 Mid-1 GABA-5 TRPC4 NPSR1_C465-272: Gpr50.Nts.GABA-1
C4-131 Mid-1 GABA-5 TRPC4 SLC38A11	C465-233: Lef1.Gal.Hmcn1.GABA-1	0.910258718610627	C3-57 Mid-1 GABA-5 TRPC4	C286-143: Gal.Hmcn1.GABA-1	C4-131 Mid-1 GABA-5 TRPC4 SLC38A11_C465-233: Lef1.Gal.Hmcn1.GABA-1	0.910258718610627	0	0.910258718610627	0.910258718610627	0	0.910258718610627	1	2	1	C4-131 Mid-1 GABA-5 TRPC4 SLC38A11_C465-233: Lef1.Gal.Hmcn1.GABA-1
C4-132 Mid-1 GABA-5 TRPC4 TAC3	C465-272: Gpr50.Nts.GABA-1	0.870219097230056	C3-57 Mid-1 GABA-5 TRPC4	C286-169: Gpr50.Nts.GABA-1	C4-132 Mid-1 GABA-5 TRPC4 TAC3_C465-272: Gpr50.Nts.GABA-1	0.876803863280163	0	0.876803863280163	0.88338862933027	0.00658476605010705	0.870219097230056	1	1	2	C4-132 Mid-1 GABA-5 TRPC4 TAC3_C465-272: Gpr50.Nts.GABA-1
C4-136 Mid-1 GABA-5 GAL PGR	C465-241: Nts.Crh.GABA-1	0.881353300266388	C3-58 Mid-1 GABA-5 GAL	C286-148: Nts.Crh.GABA-1	C4-136 Mid-1 GABA-5 GAL PGR_C465-241: Nts.Crh.GABA-1	0.881353300266388	0	0.881353300266388	0.881353300266388	0	0.881353300266388	1	1	2	C4-136 Mid-1 GABA-5 GAL PGR_C465-241: Nts.Crh.GABA-1
C4-137 Mid-1 GABA-5 DLK1 FIGN	C465-239: Syt2.Gal.Crh.GABA-1	0.921641449999973	C3-59 Mid-1 GABA-5 DLK1	C286-147: Gal.Crh.GABA-1	C4-137 Mid-1 GABA-5 DLK1 FIGN_C465-239: Syt2.Gal.Crh.GABA-1	0.921641449999973	0	0.921641449999973	0.921641449999973	0	0.921641449999973	1	1	1	C4-137 Mid-1 GABA-5 DLK1 FIGN_C465-239: Syt2.Gal.Crh.GABA-1
C4-138 Mid-1 GABA-5 DLK1 GAL	C465-240: Dlx6os1.Gal.Crh.GABA-1	0.881650805637974	C3-59 Mid-1 GABA-5 DLK1	C286-147: Gal.Crh.GABA-1	C4-138 Mid-1 GABA-5 DLK1 GAL_C465-240: Dlx6os1.Gal.Crh.GABA-1	0.881650805637974	0	0.881650805637974	0.881650805637974	0	0.881650805637974	1	1	1	C4-138 Mid-1 GABA-5 DLK1 GAL_C465-240: Dlx6os1.Gal.Crh.GABA-1
C4-139 Mid-1 GABA-5 DLK1 SOX6	C465-245: Nfix.St18.Lhx6.GABA-1	0.810397846422643	C3-59 Mid-1 GABA-5 DLK1	C286-151: St18.Lhx6.GABA-1	C4-139 Mid-1 GABA-5 DLK1 SOX6_C465-245: Nfix.St18.Lhx6.GABA-1	0.839086808115156	0	0.839086808115156	0.867775769807669	0.0286889616925132	0.810397846422643	1	1	2	C4-139 Mid-1 GABA-5 DLK1 SOX6_C465-245: Nfix.St18.Lhx6.GABA-1
C4-141 Mid-1 GABA-5 DLK1 SEMA3C	C465-238: Nts.Gal.Crh.GABA-1	0.939705611129153	C3-59 Mid-1 GABA-5 DLK1	C286-147: Gal.Crh.GABA-1	C4-141 Mid-1 GABA-5 DLK1 SEMA3C_C465-238: Nts.Gal.Crh.GABA-1	0.939705611129153	0	0.939705611129153	0.939705611129153	0	0.939705611129153	1	1	1	C4-141 Mid-1 GABA-5 DLK1 SEMA3C_C465-238: Nts.Gal.Crh.GABA-1
C4-142 Mid-1 GABA-5 RORB VGF	C465-241: Nts.Crh.GABA-1	0.820217859379007	C3-60 Mid-1 GABA-5 RORB	C286-148: Nts.Crh.GABA-1	C4-142 Mid-1 GABA-5 RORB VGF_C465-241: Nts.Crh.GABA-1	0.850785579822698	0	0.850785579822698	0.881353300266388	0.0305677204436903	0.820217859379007	1	1	2	C4-142 Mid-1 GABA-5 RORB VGF_C465-241: Nts.Crh.GABA-1
C4-143 Mid-1 GABA-5 RORB GAL	C465-268: Csta2.Hmx2.Gal.Nts.GABA-1	0.910694724239636	C3-60 Mid-1 GABA-5 RORB	C286-167: Hmx2.Gal.Nts.GABA-1	C4-143 Mid-1 GABA-5 RORB GAL_C465-268: Csta2.Hmx2.Gal.Nts.GABA-1	0.910694724239636	0	0.910694724239636	0.910694724239636	0	0.910694724239636	1	1	3	C4-143 Mid-1 GABA-5 RORB GAL_C465-268: Csta2.Hmx2.Gal.Nts.GABA-1
C4-144 Mid-1 GABA-5 RORB GLI3	C465-271: Ecel1.Nts.GABA-1	0.918771879233639	C3-60 Mid-1 GABA-5 RORB	C286-168: Ecel1.Nts.GABA-1	C4-144 Mid-1 GABA-5 RORB GLI3_C465-271: Ecel1.Nts.GABA-1	0.918771879233639	0	0.918771879233639	0.918771879233639	0	0.918771879233639	1	1	1	C4-144 Mid-1 GABA-5 RORB GLI3_C465-271: Ecel1.Nts.GABA-1
C4-146 Mid-1 GABA-5 FOXD2 ROR1	C465-282: Th.Trh.Nkx2-4.GABA-3	0.943694538194966	C3-61 Mid-1 GABA-5 FOXD2	C286-174: Trh.Nkx2-4.GABA-3	C4-146 Mid-1 GABA-5 FOXD2 ROR1_C465-282: Th.Trh.Nkx2-4.GABA-3	0.943694538194966	0	0.943694538194966	0.943694538194966	0	0.943694538194966	1	2	1	C4-146 Mid-1 GABA-5 FOXD2 ROR1_C465-282: Th.Trh.Nkx2-4.GABA-3
C4-147 Mid-1 GABA-5 FOXD2 NPW	C465-280: Ebf1.Nkx2-4.GABA-3	0.915172437204502	C3-61 Mid-1 GABA-5 FOXD2	C286-173: Ebf1.Nkx2-4.GABA-3	C4-147 Mid-1 GABA-5 FOXD2 NPW_C465-280: Ebf1.Nkx2-4.GABA-3	0.927327451892026	0	0.927327451892026	0.93948246657955	0.0121550146875238	0.915172437204502	1	1	2	C4-147 Mid-1 GABA-5 FOXD2 NPW_C465-280: Ebf1.Nkx2-4.GABA-3
C4-148 Mid-1 GABA-5 FOXD2 GABRE	C465-280: Ebf1.Nkx2-4.GABA-3	0.897616704952564	C3-61 Mid-1 GABA-5 FOXD2	C286-173: Ebf1.Nkx2-4.GABA-3	C4-148 Mid-1 GABA-5 FOXD2 GABRE_C465-280: Ebf1.Nkx2-4.GABA-3	0.918549585766057	0	0.918549585766057	0.93948246657955	0.0209328808134929	0.897616704952564	1	1	2	C4-148 Mid-1 GABA-5 FOXD2 GABRE_C465-280: Ebf1.Nkx2-4.GABA-3
C4-149 Mid-1 GABA-6 ADAMTSL1 MDFIC	C465-215: Satb1.Col6a1.Il1rapl2.GABA-1	0.922027844079088	C3-62 Mid-1 GABA-6 ADAMTSL1	C286-131: Satb1.Col6a1.Il1rapl2.GABA-1	C4-149 Mid-1 GABA-6 ADAMTSL1 MDFIC_C465-215: Satb1.Col6a1.Il1rapl2.GABA-1	0.922027844079088	0	0.922027844079088	0.922027844079088	0	0.922027844079088	1	1	1	C4-149 Mid-1 GABA-6 ADAMTSL1 MDFIC_C465-215: Satb1.Col6a1.Il1rapl2.GABA-1
C4-15 Pre-1 GABA-1 SEMA3C CXCL14	C465-314: Cxcl14.Tac1.Meis2.GABA-5	0.922062701796106	C3-26 Pre-1 GABA-1 SEMA3C	C286-193: Cxcl14.Tac1.Meis2.GABA-5	C4-15 Pre-1 GABA-1 SEMA3C CXCL14_C465-314: Cxcl14.Tac1.Meis2.GABA-5	0.922062701796106	0	0.922062701796106	0.922062701796106	0	0.922062701796106	1	1	3	C4-15 Pre-1 GABA-1 SEMA3C CXCL14_C465-314: Cxcl14.Tac1.Meis2.GABA-5
C4-150 Mid-1 GABA-6 ADAMTSL1 HMCN1	C465-219: Epha3.Il1rapl2.GABA-1	0.926598057902724	C3-62 Mid-1 GABA-6 ADAMTSL1	C286-133: Epha3.Il1rapl2.GABA-1	C4-150 Mid-1 GABA-6 ADAMTSL1 HMCN1_C465-219: Epha3.Il1rapl2.GABA-1	0.926598057902724	0	0.926598057902724	0.926598057902724	0	0.926598057902724	1	1	1	C4-150 Mid-1 GABA-6 ADAMTSL1 HMCN1_C465-219: Epha3.Il1rapl2.GABA-1
C4-151 Mid-1 GABA-6 TRHDE RELN	C465-217: Tbx19.Vcan.Col6a1.Il1rapl2.GABA-1	0.834553685716447	C3-63 Mid-1 GABA-6 TRHDE	C286-132: Vcan.Col6a1.Il1rapl2.GABA-1	C4-151 Mid-1 GABA-6 TRHDE RELN_C465-217: Tbx19.Vcan.Col6a1.Il1rapl2.GABA-1	0.843719094638632	0	0.843719094638632	0.852884503560817	0.00916540892218498	0.834553685716447	1	1	2	C4-151 Mid-1 GABA-6 TRHDE RELN_C465-217: Tbx19.Vcan.Col6a1.Il1rapl2.GABA-1
C4-152 Mid-1 GABA-6 TRHDE CALCR	C465-235: Sox6.Adarb2.Hmcn1.GABA-1	0.875638871612393	C3-63 Mid-1 GABA-6 TRHDE	C286-145: Sox6.Adarb2.Hmcn1.GABA-1	C4-152 Mid-1 GABA-6 TRHDE CALCR_C465-235: Sox6.Adarb2.Hmcn1.GABA-1	0.875638871612393	0	0.875638871612393	0.875638871612393	0	0.875638871612393	1	1	1	C4-152 Mid-1 GABA-6 TRHDE CALCR_C465-235: Sox6.Adarb2.Hmcn1.GABA-1
C4-153 Mid-1 GABA-6 TRHDE TAC3	C465-232: Tbx19.Gal.Hmcn1.GABA-1	0.726885193091048	C3-63 Mid-1 GABA-6 TRHDE	C286-143: Gal.Hmcn1.GABA-1	C4-153 Mid-1 GABA-6 TRHDE TAC3_C465-232: Tbx19.Gal.Hmcn1.GABA-1	0.811111313501021	0	0.811111313501021	0.895337433910993	0.0842261204099721	0.726885193091048	1	1	2	C4-153 Mid-1 GABA-6 TRHDE TAC3_C465-232: Tbx19.Gal.Hmcn1.GABA-1
C4-154 Mid-1 GABA-6 TRHDE LEF1	C465-232: Tbx19.Gal.Hmcn1.GABA-1	0.895337433910993	C3-63 Mid-1 GABA-6 TRHDE	C286-143: Gal.Hmcn1.GABA-1	C4-154 Mid-1 GABA-6 TRHDE LEF1_C465-232: Tbx19.Gal.Hmcn1.GABA-1	0.895337433910993	0	0.895337433910993	0.895337433910993	0	0.895337433910993	1	1	2	C4-154 Mid-1 GABA-6 TRHDE LEF1_C465-232: Tbx19.Gal.Hmcn1.GABA-1
C4-155 Mid-1 GABA-6 SLC10A4 NOX4	C465-316: Reln.Nfix.Satb2.GABA-6	0.782099841902567	C3-64 Mid-1 GABA-6 SLC10A4	C286-194: Nfix.Satb2.GABA-6	C4-155 Mid-1 GABA-6 SLC10A4 NOX4_C465-316: Reln.Nfix.Satb2.GABA-6	0.864952520022945	0	0.864952520022945	0.947805198143322	0.0828526781203771	0.782099841902567	1	1	2	C4-155 Mid-1 GABA-6 SLC10A4 NOX4_C465-316: Reln.Nfix.Satb2.GABA-6
C4-156 Mid-1 GABA-6 SLC10A4 BHLHE22	C465-216: Chst9.Vcan.Col6a1.Il1rapl2.GABA-1	0.929923485233174	C3-64 Mid-1 GABA-6 SLC10A4	C286-132: Vcan.Col6a1.Il1rapl2.GABA-1	C4-156 Mid-1 GABA-6 SLC10A4 BHLHE22_C465-216: Chst9.Vcan.Col6a1.Il1rapl2.GABA-1	0.929923485233174	0	0.929923485233174	0.929923485233174	0	0.929923485233174	1	1	1	C4-156 Mid-1 GABA-6 SLC10A4 BHLHE22_C465-216: Chst9.Vcan.Col6a1.Il1rapl2.GABA-1
C4-157 Mid-1 GABA-6 SLC10A4 CHST9	C465-217: Tbx19.Vcan.Col6a1.Il1rapl2.GABA-1	0.846292899536775	C3-64 Mid-1 GABA-6 SLC10A4	C286-132: Vcan.Col6a1.Il1rapl2.GABA-1	C4-157 Mid-1 GABA-6 SLC10A4 CHST9_C465-217: Tbx19.Vcan.Col6a1.Il1rapl2.GABA-1	0.849588701548796	0	0.849588701548796	0.852884503560817	0.00329580201202095	0.846292899536775	1	1	2	C4-157 Mid-1 GABA-6 SLC10A4 CHST9_C465-217: Tbx19.Vcan.Col6a1.Il1rapl2.GABA-1
C4-158 Mid-1 GABA-6 IL13RA1 SST	C465-237: Il1rapl2.Zfp804b.Hmcn1.GABA-1	0.839585085115936	C3-65 Mid-1 GABA-6 IL13RA1	C286-146: Zfp804b.Hmcn1.GABA-1	C4-158 Mid-1 GABA-6 IL13RA1 SST_C465-237: Il1rapl2.Zfp804b.Hmcn1.GABA-1	0.839585085115936	0	0.839585085115936	0.839585085115936	0	0.839585085115936	1	2	1	C4-158 Mid-1 GABA-6 IL13RA1 SST_C465-237: Il1rapl2.Zfp804b.Hmcn1.GABA-1
C4-159 Mid-1 GABA-6 IL13RA1 PDZRN4	C465-236: Pbx3.Zfp804b.Hmcn1.GABA-1	0.877929622098145	C3-65 Mid-1 GABA-6 IL13RA1	C286-146: Zfp804b.Hmcn1.GABA-1	C4-159 Mid-1 GABA-6 IL13RA1 PDZRN4_C465-236: Pbx3.Zfp804b.Hmcn1.GABA-1	0.877929622098145	0	0.877929622098145	0.877929622098145	0	0.877929622098145	1	1	1	C4-159 Mid-1 GABA-6 IL13RA1 PDZRN4_C465-236: Pbx3.Zfp804b.Hmcn1.GABA-1
C4-16 Pre-1 GABA-1 SEMA3C ITGA8	C465-179: Penk.Chodl.Fam122b.Vipr2.GABA-2	0.757860329227475	C3-26 Pre-1 GABA-1 SEMA3C	C286-109: Chodl.Fam122b.Vipr2.GABA-2	C4-16 Pre-1 GABA-1 SEMA3C ITGA8_C465-179: Penk.Chodl.Fam122b.Vipr2.GABA-2	0.757860329227475	0	0.757860329227475	0.757860329227475	0	0.757860329227475	1	1	1	C4-16 Pre-1 GABA-1 SEMA3C ITGA8_C465-179: Penk.Chodl.Fam122b.Vipr2.GABA-2
