cluster_id	cluster_name	clusterlevel	first_cluster_name	top_markers	ncells	mean_nCount_RNA	mean_nFeature_RNA	mean_percent_mt	Female	Male	Siletti	Tadross	1C41i	3u5kk	buFpQ	eXCJJ	f5sVM	siletti_H18.30.002	siletti_H19.30.001	siletti_H19.30.002	TweV8	tzan2	znZv1	1C41i_A4	1C41i_A6	1C41i_A7	1C41i_A8	1C41i_R1	1C41i_R2	3u5kk_A.01	3u5kk_A.02	3u5kk_A.03	3u5kk_A.05	3u5kk_A.06	3u5kk_A.07	3u5kk_A.08	3u5kk_A.09	3u5kk_A.10	3u5kk_R.01	3u5kk_R.02	3u5kk_R.03	3u5kk_R.04	3u5kk_R.05	3u5kk_R.06	3u5kk_R.07	3u5kk_R.08	3u5kk_R.09	3u5kk_R.10	3u5kk_R.11	buFpQ_A1	buFpQ_A3	buFpQ_R1	buFpQ_R2	buFpQ_R3	eXCJJ_N2	eXCJJ_US2	f5sVM_ARHS2	siletti_10X190_5	siletti_10X190_6	siletti_10X192_7	siletti_10X192_8	siletti_10X193_3	siletti_10X193_4	siletti_10X203_7	siletti_10X203_8	siletti_10X360_7	siletti_10X360_8	siletti_10X362_3	siletti_10X362_4	siletti_10X362_5	siletti_10X362_6	siletti_10X376_5	siletti_10X376_6	siletti_10X380_5	siletti_10X380_6	siletti_10X380_7	siletti_10X380_8	siletti_10X389_1	siletti_10X389_2	siletti_10X392_3	siletti_10X392_4	TweV8_N1	TweV8_US1	tzan2_2	tzan2_5.1	tzan2_5.2	tzan2_5.3	tzan2_5.4	tzan2_N6.3	tzan2_US6.1	tzan2_US6.2	znZv1_1AS1CB	znZv1_1AS2CB	znZv1_1AS3CB	znZv1_1AS4CB	znZv1_1CB	znZv1_S1	znZv1_S10	znZv1_S11	znZv1_S1F	znZv1_S2	znZv1_S3	znZv1_S5	znZv1_S8	znZv1_S9
C1-7	C1-7 Pre-2	C1	Pre-2	LHX6|LHX8|SOX6|NPY|ARX	11843	16124.67	4679	0.3491	51.46	48.54	46.74	53.26	0.05	38.69	0.02	0.81	0.01	19.44	24.58	2.73	0.42	11.53	1.73	0	0	0.03	0.01	0.02	0	0.16	0.42	0.42	0.32	0.17	2.25	3.31	3.54	3.39	0.43	0.34	2.25	0.39	0.41	0.33	0.4	1.65	3.16	6.27	9.08	0	0	0	0.01	0.01	0.79	0.02	0.01	0.13	0.14	0.52	0.42	0.03	0.02	9.43	8.76	0.18	0.11	0.06	0	0	0	7.75	8.5	1.19	1.33	0.07	0.08	0.14	0.15	3.65	4.1	0.4	0.03	2.54	1.95	1.89	1.9	2.16	0.97	0.07	0.04	0.01	0.01	0	0.03	0.02	0.08	0.02	0.03	0.05	0.58	0.68	0.03	0.19	0.02
C1-8	C1-8 Post-1	C1	Post-1	LMX1A|LMX1B|TTC6|EBF3|EBF2	13679	20805.04	5549.55	0.1148	0.8	99.2	81.19	18.81	3.26	0.39	0.61	0	0.14	13.46	49.56	18.17	0.03	0.23	14.15	0.62	0.64	1.01	0.96	0.03	0	0	0	0.03	0	0	0.04	0.1	0.1	0.05	0	0	0	0	0	0	0	0.01	0.01	0.02	0.02	0.44	0.16	0	0	0.01	0	0	0.14	2.41	2.65	0.01	0	3.95	4.44	0	0	12.42	10.69	7.15	6.39	0	0	0.01	0	1.35	1.34	1.01	0.94	13.15	13.29	0	0	0.01	0.01	0.09	0.02	0.05	0.03	0.01	0.03	0	0.01	0.96	0.76	0.9	1.09	1.11	0.23	0.48	3.51	0.14	1.99	2.65	0.07	0.12	0.14
C1-9	C1-9 Mid-3	C1	Mid-3	OTP|OXT|AVP|SIM1|CARTPT	12539	17202.07	4907.96	0.2431	18.98	81.02	63.75	36.25	0.75	14.16	0.1	0.02	0.14	13.21	33.8	16.75	0.01	4.65	16.41	0.2	0.15	0.2	0.16	0.04	0	0.1	0.22	0.36	0.31	0.14	2.14	2.38	2.61	2.75	0.03	0.09	0.12	0.09	0.05	0.03	0.01	0.3	0.44	1	1	0.01	0.01	0.01	0.04	0.04	0.02	0	0.14	3.48	3.64	0.03	0.03	0.03	0.02	2.87	3.1	5.49	5.27	1.52	1.7	0.02	0.02	6.14	5.99	5.93	6.33	0.53	0.74	1.75	1.46	3.53	4.12	0	0.01	0.64	0.8	0.87	0.75	0.93	0.57	0.06	0.04	0.14	0.19	0.12	0.26	0.26	2.62	0.1	1.63	0.95	3.95	5.53	0.11	0.5	0.06
C1-10	C1-10 Mid-2	C1	Mid-2	TBX3|HDC|PGR|LEF1|WIF1	31323	19614.55	4956.29	0.1903	6.38	93.62	78.03	21.97	0.16	4.63	0.01	0	0.01	16.53	25.4	36.1	0	1.74	15.43	0.06	0.02	0.03	0.02	0.01	0.03	0.03	0.07	0.1	0.06	0.06	0.58	0.65	0.88	0.74	0.02	0.04	0.03	0.02	0.03	0.03	0.02	0.09	0.22	0.42	0.53	0.01	0	0	0	0	0	0	0.01	7.09	7.73	0	0	0.15	0.19	0.69	0.68	7.4	6.86	6.49	5.92	0.1	0.12	0.27	0.34	4.05	4.64	7.17	7.84	1.03	1.1	3.79	4.37	0	0	0.34	0.06	0.05	0.05	0.08	0.98	0.11	0.08	0.35	0.32	0.37	0.48	0.33	1.98	0.44	1.57	0.53	3.75	4.98	0.02	0.09	0.23
C1-11	C1-11 Post-2	C1	Post-2	MYO5B|HAPLN1|CFAP299|FOXB1|LTBP1	18946	33381.31	6646.63	0.0622	0.29	99.71	87.37	12.63	0.03	0.14	0.01	0	0.08	34.96	38.51	13.9	0	0.07	12.31	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0.01	0	0.01	0.01	0.01	0.01	0	0	0.08	0	0.01	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0.08	3.45	3.71	0	0	13.39	14.41	0	0	11.02	10.75	7.04	6.77	0	0	0	0	0.02	0.01	0.04	0.03	8.66	8.08	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.04	0	0	0.05	0.04	0.04	0.03	0.03	0.02	4	5.9	0	0.05	0.08	0.03	0.02	2.02
C1-12	C1-12 Vascular	C1	Vascular	DCN|COL1A2|PDGFRB|EBF1|RBPMS	5023	3549.24	1749.82	1.1361	21.16	78.84	16.66	83.34	33.88	6.85	16.05	0.56	1.27	4.74	11.03	0.9	0.14	12.34	12.24	3.74	2.81	3.34	3.48	8.96	11.55	0.04	0.04	0.08	0.08	0.02	0.3	0.46	0.62	0.44	0.22	0.24	0.38	0.16	0.28	0.16	0.24	0.42	0.54	1.02	1.13	1.45	1.69	4.08	4.24	4.58	0.02	0.54	1.27	1.08	1	0.44	0.84	0.5	0.58	0.16	0.16	0.68	0.86	0.5	0.32	3.96	3.4	0.32	0.36	0.02	0.04	0.02	0	0.74	0.56	0.08	0.08	0.04	0.1	0.02	2.87	2.61	2.91	2.85	0.54	0.28	0.28	2.19	1.33	0.7	1.91	1.87	1.09	1.08	0.44	0.3	0.3	0.16	0.1	0.56	0.22
C1-13	C1-13 Immune	C1	Immune	LNCAROD|CX3CR1|LY86|SYK|APBB1IP	23651	2784.26	1565.43	0.4467	40.97	59.03	15.2	84.8	20.79	26.4	8	0.35	1.16	4.98	8.75	1.47	0.16	12.9	15.04	3.98	3.66	4.08	4.33	2.61	2.14	0.16	0.22	0.24	0.22	0.13	2.28	2.91	3.38	3.3	0.25	0.3	0.45	0.4	0.39	0.3	0.37	2.06	2.52	3.29	3.2	0.02	0.01	2.33	2.71	2.93	0	0.34	1.16	0.75	0.64	0.6	0.47	0.82	0.95	0.41	0.36	0.76	0.6	0.79	0.66	2.75	2.78	0.32	0.34	0.01	0.01	0.01	0	0.22	0.22	0.33	0.43	0.02	0.15	4.03	0.66	0.79	0.84	0.9	2.14	1.77	1.79	2.4	1.7	2.08	2.41	2.38	0.92	1.09	0.56	0.08	0.38	0.57	0.11	0.16	0.2
C2-1	C2-1 Astrocytes-1	C2	Astrocytes-1	WIF1|LHX2|EPHA6|GRM3|GABRA4	8097	3564.6	1752.49	0.1988	79.04	20.96	20.19	79.81	0.15	59.53	0.1	4.93	0.05	20	0.11	0.09	2.63	11.91	0.52	0.02	0	0.01	0.04	0.06	0.01	0.02	0.04	0.05	0.06	0.04	0.62	1.1	1.25	1.24	0.7	0.85	1.59	0.98	1.05	0.79	0.99	5.24	9.37	16.39	17.17	0.01	0	0.01	0.04	0.04	0.22	4.71	0.05	0.14	0.22	8.45	8.65	0	0	1.28	1.26	0.01	0.04	0.02	0.01	0	0.02	0.02	0.01	0	0	0.01	0.04	0	0	0	0	0.31	2.32	7.27	1.17	1.04	1.05	0.93	0.15	0.12	0.17	0.06	0.05	0.05	0.04	0.02	0.01	0.01	0	0	0.01	0	0.17	0.07	0.01
C2-2	C2-2 Astrocytes-2	C2	Astrocytes-2	ITPRID1|SLC6A11|LGR6|CDH23|SEMA3E	36782	4151.21	2015.58	0.262	61.22	38.78	4.5	95.5	11.95	51.95	10.1	0.92	5.13	1.25	1.74	1.51	0.33	2.89	12.23	2.18	1.93	2.32	2.41	1.67	1.44	0.36	0.63	0.62	0.77	0.42	6.81	9	10.18	10.35	0.14	0.16	0.19	0.18	0.15	0.16	0.16	1.36	2.42	3.72	4.17	2.94	1.15	1.73	2.01	2.27	0.01	0.91	5.13	0.33	0.28	0.01	0.01	0.09	0.09	0.21	0.23	0.26	0.26	0.27	0.23	0.01	0.02	0.22	0.25	0.3	0.39	0.15	0.16	0.09	0.08	0.28	0.27	0.04	0.3	0.72	0.23	0.22	0.26	0.2	0.39	0.44	0.43	1.32	1.03	1.35	1.38	1.05	2.85	0.71	0.36	0.62	0.89	0.08	0.17	0.03	0.38
C2-3	C2-3 Astrocytes-3	C2	Astrocytes-3	CCDC85A|LRAT|PLCXD3|COL24A1|C8orf34	16774	4281.06	1957.69	0.1511	72.12	27.88	12.04	87.96	5	62.04	3.58	0.15	0.64	2.52	8.83	0.69	0.15	9.15	7.26	0.69	0.72	0.76	0.76	1.2	0.88	0.32	0.53	0.62	0.59	0.35	6.43	8.04	9.71	10.03	0.27	0.37	0.58	0.47	0.51	0.3	0.41	2.46	4.16	8.04	7.87	0.35	0.11	0.89	1.13	1.1	0	0.15	0.64	0.4	0.26	0.15	0.06	0.7	0.81	0.07	0.07	0.1	0.11	0.23	0.27	3.88	3.84	0.13	0.13	0.06	0.05	0.04	0.04	0.23	0.22	0.09	0.1	0.01	0.14	0.19	1.25	1.37	1.2	1.32	1.25	1.25	1.31	1.07	0.71	0.98	1.2	0.85	0.25	0.44	0.21	0.09	0.24	0.14	0.11	0.8	0.18
C2-39	C2-39 Mid-2 GLU-1	C2	GLU-1	LHX9|HCRT|RERGL|HMX3|RORB	5160	12754.48	4134.76	0.2519	10.64	89.36	69.94	30.06	0.04	8.04	0	0	0.02	12.56	25.1	32.29	0	2.58	19.38	0.02	0	0	0.02	0	0	0.06	0.19	0.19	0.16	0.12	1.12	1.24	1.84	1.69	0.04	0.06	0.02	0	0.02	0.02	0.02	0.12	0.31	0.35	0.48	0	0	0	0	0	0	0	0.02	2.21	2.11	0	0	0	0.04	4.15	4.05	4.75	4.26	0.93	1.07	0.04	0.04	1.47	1.57	11.1	13.33	2.81	3.04	0.47	0.74	5.52	6.24	0	0	0.5	0.02	0.02	0.06	0.02	1.69	0.21	0.06	0.27	0.12	0.16	0.16	0.17	5.6	0.25	0.5	1.72	4.26	5.76	0.04	0.16	0.21
C2-40	C2-40 Mid-2 GLU-2	C2	GLU-2	FEZF1|HS3ST4|PGR|ADAMTSL1|CDH13	9009	18173.54	4903.23	0.2616	9.73	90.27	69.84	30.16	0	7.75	0.02	0	0	22.27	25.05	22.52	0	1.99	20.4	0	0	0	0	0	0	0.04	0.07	0.19	0.09	0.11	0.77	0.9	1.21	1.03	0.04	0.1	0.08	0.07	0.04	0.09	0.04	0.19	0.49	1	1.2	0.02	0	0	0	0	0	0	0	10.69	11.54	0	0	0	0	0.01	0.02	3.59	3.25	0.16	0.1	0	0.01	0.02	0.02	2.11	2.31	8.44	9.41	0.03	0.03	8.39	9.7	0	0	0.03	0.09	0.09	0.08	0.14	1.32	0.16	0.08	0.03	0.02	0.02	0.06	0.1	0.36	0.64	0.47	0.06	7.73	10.51	0.02	0.09	0.3
C2-41	C2-41 Mid-2 GABA-GLU-1	C2	GABA-GLU-1	P2RX2|OTP|SST|NPY|ADAMTSL1	2516	20313.14	4977.3	0.0947	6.36	93.64	84.1	15.9	0	4.61	0	0	0	29.93	16.69	37.48	0	1.75	9.54	0	0	0	0	0	0	0.04	0.12	0.04	0.08	0.04	0.83	0.52	0.87	0.72	0	0	0.04	0	0.04	0.04	0	0.12	0.24	0.36	0.52	0	0	0	0	0	0	0	0	13.67	16.26	0	0	0	0	0	0	4.85	3.97	1.87	1.67	0.6	0.64	0	0.08	0.48	0.44	15.66	17.37	0	0.04	2.98	3.54	0	0	0.08	0.08	0.12	0.04	0.04	1.07	0.08	0.24	0.36	0.52	0.44	0.72	0.68	0	0.12	0.6	0.08	2.74	2.9	0.04	0.24	0.12
C2-42	C2-42 Mid-2 GABA-GLU-2	C2	GABA-GLU-2	PPP1R17|RORB|NPY|PROX1|CCBE1	2659	8818.78	3379.26	0.275	5.83	94.17	75.22	24.78	0	3.16	0	0	0	3.69	28.58	42.95	0	2.67	18.95	0	0	0	0	0	0	0	0.08	0.11	0.04	0.04	0.64	0.38	0.79	0.56	0	0	0	0	0	0	0	0	0	0.26	0.26	0	0	0	0	0	0	0	0	1.96	1.73	0	0	0	0	0	0	12.9	12.34	3.69	3.61	0.08	0.11	0.11	0.38	13.58	15.01	3.23	3.84	1.2	0.94	0.19	0.34	0	0	0.6	0	0	0	0	1.84	0.15	0.08	0.04	0.08	0.04	0	0.08	7.37	0.56	0.71	1.69	3.61	4.48	0.04	0.11	0.15
C2-43	C2-43 Mid-2 GLU-3	C2	GLU-3	PMCH|OTX1|CRHBP|CARTPT|SLC15A1	1126	14286.08	4347.66	0.7535	9.5	90.5	55.68	44.32	4.17	4.09	0.09	0	0.09	7.19	28.6	19.89	0	5.33	30.55	1.42	0.44	0.71	0.44	0.36	0.8	0.09	0	0	0	0.09	0.53	1.24	1.15	0.71	0	0	0	0	0	0	0	0.09	0	0.09	0.09	0.09	0	0	0	0	0	0	0.09	3.46	3.37	0	0	0.18	0.09	0.09	0	9.5	8.88	4.8	4.53	0	0	0.27	0.71	4.71	4.53	0.36	0.98	3.91	4.8	0.27	0.27	0	0	4	0.09	0.18	0.18	0.18	0.53	0	0.18	1.07	1.33	1.69	1.87	1.07	8.44	0.36	4.17	2.04	2.93	5.15	0.09	0	0.36
C2-44	C2-44 Mid-2 GABA-GLU-3	C2	GABA-GLU-3	TBX3|PGR|VGLL3|POMC|WIF1	5608	26111.29	5763.66	0.0309	1.28	98.72	96.02	3.98	0	0.71	0	0	0	10.93	19.53	65.57	0	0.57	2.69	0	0	0	0	0	0	0	0	0	0.02	0	0.07	0.18	0.11	0.07	0	0	0	0	0.04	0	0	0	0.02	0.09	0.12	0	0	0	0	0	0	0	0	5.06	5.8	0	0	0.02	0.05	0	0	8.15	7.29	21.79	18.85	0.18	0.16	0	0	0.18	0.32	11.91	12.52	1.02	1.12	0.78	0.82	0	0	0.21	0.02	0.02	0.04	0	0.2	0.04	0.05	0.07	0.05	0.05	0.09	0.04	0	0.23	0.93	0	0.55	0.5	0	0.02	0.16
C2-45	C2-45 Mid-2 GLU-4	C2	GLU-4	HDC|LEF1|PPP1R1C|SLC18A2|WIF1	5245	28174.05	5912.49	0.0599	1.47	98.53	84.1	15.9	0.04	0.95	0	0	0	18.65	34.43	31.02	0	0.51	14.39	0.04	0	0	0	0	0	0	0.02	0.02	0	0	0.13	0.21	0.19	0.15	0.02	0	0	0	0	0	0	0	0.04	0.06	0.11	0	0	0	0	0	0	0	0	8.08	8.67	0	0	0.84	1.01	0.02	0.02	13.77	13.35	10.49	10.35	0.06	0.15	0.02	0.06	1.32	1.47	3.6	3.79	3.11	3.09	0.36	0.48	0	0	0.04	0.13	0	0.04	0.15	0.13	0	0.02	1.26	1.11	1.39	1.75	0.97	0.13	0.61	5.55	0.02	0.57	0.72	0	0.02	0.29
C2-46	C2-46 Post-2 GLU-1	C2	GLU-1	MYO5B|HAPLN1|CFAP299|FOXB1|LTBP1	18381	33708.17	6668.16	0.0623	0.28	99.72	87.34	12.66	0.03	0.14	0.01	0	0.08	35.29	38.58	13.47	0	0.07	12.34	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0.01	0	0.01	0.01	0.01	0.01	0	0	0.08	0	0.01	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0.08	3.22	3.45	0	0	13.78	14.84	0	0	10.86	10.62	6.85	6.56	0	0	0	0	0.01	0.01	0.03	0.03	8.85	8.25	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.03	0	0	0.01	0.02	0.01	0	0	0.01	4.1	5.96	0	0.05	0.08	0.03	0.02	2.06
