human_cluster	mouse_cluster	human_parent	mouse_parent	similarity	human_count	mouse_count
C4-146 Mid-1 GABA-5 FOXD2 ROR1	C465-282: Th.Trh.Nkx2-4.GABA-3	C3-61 Mid-1 GABA-5 FOXD2	C286-174: Trh.Nkx2-4.GABA-3	0.943694538194966	2	1
C4-147 Mid-1 GABA-5 FOXD2 NPW	C465-280: Ebf1.Nkx2-4.GABA-3	C3-61 Mid-1 GABA-5 FOXD2	C286-173: Ebf1.Nkx2-4.GABA-3	0.915172437204502	1	2
C4-148 Mid-1 GABA-5 FOXD2 GABRE	C465-280: Ebf1.Nkx2-4.GABA-3	C3-61 Mid-1 GABA-5 FOXD2	C286-173: Ebf1.Nkx2-4.GABA-3	0.897616704952564	1	2
C4-149 Mid-1 GABA-6 ADAMTSL1 MDFIC	C465-215: Satb1.Col6a1.Il1rapl2.GABA-1	C3-62 Mid-1 GABA-6 ADAMTSL1	C286-131: Satb1.Col6a1.Il1rapl2.GABA-1	0.922027844079088	1	1
C4-15 Pre-1 GABA-1 SEMA3C CXCL14	C465-314: Cxcl14.Tac1.Meis2.GABA-5	C3-26 Pre-1 GABA-1 SEMA3C	C286-193: Cxcl14.Tac1.Meis2.GABA-5	0.922062701796106	1	3
C4-150 Mid-1 GABA-6 ADAMTSL1 HMCN1	C465-219: Epha3.Il1rapl2.GABA-1	C3-62 Mid-1 GABA-6 ADAMTSL1	C286-133: Epha3.Il1rapl2.GABA-1	0.926598057902724	1	1
C4-151 Mid-1 GABA-6 TRHDE RELN	C465-217: Tbx19.Vcan.Col6a1.Il1rapl2.GABA-1	C3-63 Mid-1 GABA-6 TRHDE	C286-132: Vcan.Col6a1.Il1rapl2.GABA-1	0.834553685716447	1	2
C4-152 Mid-1 GABA-6 TRHDE CALCR	C465-235: Sox6.Adarb2.Hmcn1.GABA-1	C3-63 Mid-1 GABA-6 TRHDE	C286-145: Sox6.Adarb2.Hmcn1.GABA-1	0.875638871612393	1	1
C4-153 Mid-1 GABA-6 TRHDE TAC3	C465-232: Tbx19.Gal.Hmcn1.GABA-1	C3-63 Mid-1 GABA-6 TRHDE	C286-143: Gal.Hmcn1.GABA-1	0.726885193091048	1	2
C4-154 Mid-1 GABA-6 TRHDE LEF1	C465-232: Tbx19.Gal.Hmcn1.GABA-1	C3-63 Mid-1 GABA-6 TRHDE	C286-143: Gal.Hmcn1.GABA-1	0.895337433910993	1	2
C4-155 Mid-1 GABA-6 SLC10A4 NOX4	C465-316: Reln.Nfix.Satb2.GABA-6	C3-64 Mid-1 GABA-6 SLC10A4	C286-194: Nfix.Satb2.GABA-6	0.782099841902567	1	2
C4-156 Mid-1 GABA-6 SLC10A4 BHLHE22	C465-216: Chst9.Vcan.Col6a1.Il1rapl2.GABA-1	C3-64 Mid-1 GABA-6 SLC10A4	C286-132: Vcan.Col6a1.Il1rapl2.GABA-1	0.929923485233174	1	1
C4-157 Mid-1 GABA-6 SLC10A4 CHST9	C465-217: Tbx19.Vcan.Col6a1.Il1rapl2.GABA-1	C3-64 Mid-1 GABA-6 SLC10A4	C286-132: Vcan.Col6a1.Il1rapl2.GABA-1	0.846292899536775	1	2
C4-158 Mid-1 GABA-6 IL13RA1 SST	C465-237: Il1rapl2.Zfp804b.Hmcn1.GABA-1	C3-65 Mid-1 GABA-6 IL13RA1	C286-146: Zfp804b.Hmcn1.GABA-1	0.839585085115936	2	1
C4-159 Mid-1 GABA-6 IL13RA1 PDZRN4	C465-236: Pbx3.Zfp804b.Hmcn1.GABA-1	C3-65 Mid-1 GABA-6 IL13RA1	C286-146: Zfp804b.Hmcn1.GABA-1	0.877929622098145	1	1
C4-16 Pre-1 GABA-1 SEMA3C ITGA8	C465-179: Penk.Chodl.Fam122b.Vipr2.GABA-2	C3-26 Pre-1 GABA-1 SEMA3C	C286-109: Chodl.Fam122b.Vipr2.GABA-2	0.757860329227475	1	1
C4-160 Mid-1 GABA-6 IL13RA1 GHRH	C465-285: Gsx1.Ghrh.GABA-3	C3-65 Mid-1 GABA-6 IL13RA1	C286-175: Ghrh.GABA-3	0.916657051593017	2	1
C4-161 Mid-1 GABA-6 IL13RA1 GHRH	C465-284: Slc10a4.Ghrh.GABA-3	C3-65 Mid-1 GABA-6 IL13RA1	C286-175: Ghrh.GABA-3	0.879931185867001	1	1
C4-162 Mid-1 GABA-7 KCNH8 GAL	C465-230: Reln.Lef1.GABA-1	C3-66 Mid-1 GABA-7 KCNH8	C286-142: Reln.Lef1.GABA-1	0.936851282476939	1	2
C4-163 Mid-1 GABA-7 KCNH8 MORC1	C465-224: Fign.Lef1.GABA-1	C3-66 Mid-1 GABA-7 KCNH8	C286-137: Fign.Lef1.GABA-1	0.832569239115309	1	1
C4-164 Mid-1 GABA-7 KCNH8 PCDH11Y	C465-221: Brs3.Npsr1.Tmem114.Lef1.GABA-1	C3-66 Mid-1 GABA-7 KCNH8	C286-135: Npsr1.Tmem114.Lef1.GABA-1	0.946108168474642	2	1
C4-165 Mid-1 GABA-7 KCNH8 NPSR1	C465-230: Reln.Lef1.GABA-1	C3-66 Mid-1 GABA-7 KCNH8	C286-142: Reln.Lef1.GABA-1	0.814571414382553	1	2
C4-166 Mid-1 GABA-7 TRABD2B	C465-226: Myo5b.Sox14.Lef1.GABA-1	C3-67 Mid-1 GABA-7 TRABD2B	C286-139: Myo5b.Sox14.Lef1.GABA-1	0.965648155484546	3	1
C4-167 Mid-1 GABA-8	C465-170: Pvalb.Mixed.GABA-2	C3-68 Mid-1 GABA-8	C286-104: Pvalb.Mixed.GABA-2	0.940369107794741	1	1
C4-168 Pre-2 GABA-1 TAC3 CTXND1	C465-246: Lhx8.St18.Lhx6.GABA-1	C3-69 Pre-2 GABA-1 TAC3	C286-151: St18.Lhx6.GABA-1	0.877766152560495	1	2
C4-169 Pre-2 GABA-1 TAC3 RERGL	C465-246: Lhx8.St18.Lhx6.GABA-1	C3-69 Pre-2 GABA-1 TAC3	C286-151: St18.Lhx6.GABA-1	0.886749970648282	1	2
C4-170 Pre-2 GABA-1 IL1RAPL2 KMO	C465-252: Igfbp4.Lhx6.GABA-1	C3-70 Pre-2 GABA-1 IL1RAPL2	C286-156: Igfbp4.Lhx6.GABA-1	0.866415527971723	1	3
C4-171 Pre-2 GABA-1 IL1RAPL2 SST	C465-252: Igfbp4.Lhx6.GABA-1	C3-70 Pre-2 GABA-1 IL1RAPL2	C286-156: Igfbp4.Lhx6.GABA-1	0.885627544936507	1	3
C4-172 Pre-2 GABA-1 IL1RAPL2 CHST9	C465-252: Igfbp4.Lhx6.GABA-1	C3-70 Pre-2 GABA-1 IL1RAPL2	C286-156: Igfbp4.Lhx6.GABA-1	0.767489103056132	1	3
C4-175 Pre-2 GABA-2 MDFIC CALCR	C465-266: Crh.Zeb2.Lhx8.GABA-1	C3-71 Pre-2 GABA-2 MDFIC	C286-165: Crh.Zeb2.Lhx8.GABA-1	0.917425175695721	1	1
C4-177 Pre-2 GABA-2 MDFIC NMU	C465-265: Nmu.Zeb2.Lhx8.GABA-1	C3-71 Pre-2 GABA-2 MDFIC	C286-164: Nmu.Zeb2.Lhx8.GABA-1	0.814941075418374	1	1
C4-178 Pre-2 GABA-2 LHX8 CDH23	C465-258: Cdh23.Lhx6.Lhx8.GABA-1	C3-72 Pre-2 GABA-2 LHX8	C286-161: Lhx6.Lhx8.GABA-1	0.844511186764378	1	2
C4-179 Pre-2 GABA-2 LHX8 SCGN	C465-258: Cdh23.Lhx6.Lhx8.GABA-1	C3-72 Pre-2 GABA-2 LHX8	C286-161: Lhx6.Lhx8.GABA-1	0.763976050007942	1	2
C4-180 Pre-2 GABA-2 LHX8 SULF1	C465-257: Pou3f1.Lhx6.Lhx8.GABA-1	C3-72 Pre-2 GABA-2 LHX8	C286-161: Lhx6.Lhx8.GABA-1	0.700344765520546	1	3
C4-181 Pre-2 GABA-2 LHX8 KCNU1	C465-257: Pou3f1.Lhx6.Lhx8.GABA-1	C3-72 Pre-2 GABA-2 LHX8	C286-161: Lhx6.Lhx8.GABA-1	0.869265006798151	1	3
C4-182 Pre-2 GABA-2 LHX8 CALCR	C465-257: Pou3f1.Lhx6.Lhx8.GABA-1	C3-72 Pre-2 GABA-2 LHX8	C286-161: Lhx6.Lhx8.GABA-1	0.857665096486088	1	3
C4-183 Pre-2 GABA-3 NXPH2 HCRTR2	C465-259: Lhx6.Sfrp1.Sox6.Lhx8.GABA-1	C3-73 Pre-2 GABA-3 NXPH2	C286-162: Sfrp1.Sox6.Lhx8.GABA-1	0.907139707380247	1	2
C4-184 Pre-2 GABA-3 NXPH2 NPY	C465-260: Npy.Sfrp1.Sox6.Lhx8.GABA-1	C3-73 Pre-2 GABA-3 NXPH2	C286-162: Sfrp1.Sox6.Lhx8.GABA-1	0.853354854390328	1	2
C4-185 Pre-2 GABA-3 NXPH2 CXCL14	C465-264: Pantr1.Gbx1.Sox6.Lhx8.GABA-1	C3-73 Pre-2 GABA-3 NXPH2	C286-163: Gbx1.Sox6.Lhx8.GABA-1	0.829229415735959	1	1
C4-186 Pre-2 GABA-3 NXPH2 C1QL2	C465-259: Lhx6.Sfrp1.Sox6.Lhx8.GABA-1	C3-73 Pre-2 GABA-3 NXPH2	C286-162: Sfrp1.Sox6.Lhx8.GABA-1	0.913433910994897	1	2
C4-187 Pre-2 GABA-3 NXPH2 SST	C465-260: Npy.Sfrp1.Sox6.Lhx8.GABA-1	C3-73 Pre-2 GABA-3 NXPH2	C286-162: Sfrp1.Sox6.Lhx8.GABA-1	0.854768269017897	1	2
C4-188 Pre-2 GABA-3 GBX1 MEIS1	C465-262: Lhx6.Gbx1.Sox6.Lhx8.GABA-1	C3-74 Pre-2 GABA-3 GBX1	C286-163: Gbx1.Sox6.Lhx8.GABA-1	0.712575911317883	1	3
C4-189 Pre-2 GABA-3 GBX1 ETV1	C465-263: Crh.Gbx1.Sox6.Lhx8.GABA-1	C3-74 Pre-2 GABA-3 GBX1	C286-163: Gbx1.Sox6.Lhx8.GABA-1	0.873127664033115	1	1
C4-190 Pre-2 GABA-3 GBX1 ADAMTS12	C465-262: Lhx6.Gbx1.Sox6.Lhx8.GABA-1	C3-74 Pre-2 GABA-3 GBX1	C286-163: Gbx1.Sox6.Lhx8.GABA-1	0.909460939161898	1	3
C4-191 Pre-2 GABA-3 GBX1 PTTG1	C465-261: Pvalb.Gbx1.Sox6.Lhx8.GABA-1	C3-74 Pre-2 GABA-3 GBX1	C286-163: Gbx1.Sox6.Lhx8.GABA-1	0.808495316524073	1	2
C4-192 Pre-2 GABA-3 GBX1 CASR	C465-261: Pvalb.Gbx1.Sox6.Lhx8.GABA-1	C3-74 Pre-2 GABA-3 GBX1	C286-163: Gbx1.Sox6.Lhx8.GABA-1	0.709805216770516	1	2
C4-193 Pre-2 GABA-3 GBX1 BMPR1B	C465-262: Lhx6.Gbx1.Sox6.Lhx8.GABA-1	C3-74 Pre-2 GABA-3 GBX1	C286-163: Gbx1.Sox6.Lhx8.GABA-1	0.824309186749353	1	3
C4-194 Pre-2 CHOL-1 BMPR1B	C465-321: Chat.GABA-7	C3-75 Pre-2 CHOL-1 BMPR1B	C286-197: Chat.GABA-7	0.801748347497732	1	2
C4-195 Pre-2 CHOL-1 MEPE	C465-321: Chat.GABA-7	C3-76 Pre-2 CHOL-1 MEPE	C286-197: Chat.GABA-7	0.89540892930121	1	2
C4-196 Pre-2 GABA-4 FIGN SOX6	C465-303: Cyp26b1.Slc17a8.Bcl11b.Meis2.GABA-5	C3-77 Pre-2 GABA-4 FIGN	C286-188: Slc17a8.Bcl11b.Meis2.GABA-5	0.786693200535881	1	1
C4-197 Pre-2 GABA-4 FIGN CYP19A1	C465-210: Aldh3b2.GABA-2	C3-77 Pre-2 GABA-4 FIGN	C286-128: Aldh3b2.GABA-2	0.817725693188318	1	3
C4-198 Pre-2 GABA-4 FIGN COL12A1	C465-210: Aldh3b2.GABA-2	C3-77 Pre-2 GABA-4 FIGN	C286-128: Aldh3b2.GABA-2	0.834809580170618	1	3
C4-199 Pre-2 GABA-4 FIGN NXPH2	C465-210: Aldh3b2.GABA-2	C3-77 Pre-2 GABA-4 FIGN	C286-128: Aldh3b2.GABA-2	0.837435807499752	1	3
C4-200 Pre-2 GABA-4 LHX6 ZIC2	C465-250: Moxd1.Dlx1.Lhx6.GABA-1	C3-78 Pre-2 GABA-4 LHX6	C286-154: Moxd1.Dlx1.Lhx6.GABA-1	0.795875340933042	1	5
C4-201 Pre-2 GABA-4 LHX6 CASR	C465-250: Moxd1.Dlx1.Lhx6.GABA-1	C3-78 Pre-2 GABA-4 LHX6	C286-154: Moxd1.Dlx1.Lhx6.GABA-1	0.912423622566862	1	5
C4-202 Pre-2 GABA-4 LHX6 NPY	C465-250: Moxd1.Dlx1.Lhx6.GABA-1	C3-78 Pre-2 GABA-4 LHX6	C286-154: Moxd1.Dlx1.Lhx6.GABA-1	0.851565372819158	1	5
C4-203 Pre-2 GABA-4 LHX6 SLC7A3	C465-250: Moxd1.Dlx1.Lhx6.GABA-1	C3-78 Pre-2 GABA-4 LHX6	C286-154: Moxd1.Dlx1.Lhx6.GABA-1	0.884969667344047	1	5
C4-205 Pre-2 GABA-4 LHX6 EYS	C465-250: Moxd1.Dlx1.Lhx6.GABA-1	C3-78 Pre-2 GABA-4 LHX6	C286-154: Moxd1.Dlx1.Lhx6.GABA-1	0.799764472848515	1	5
C4-209 Pre-2 GABA-4 CHST9 SATB2	C465-251: Crhbp.Dlx1.Lhx6.GABA-1	C3-80 Pre-2 GABA-4 CHST9	C286-155: Crhbp.Dlx1.Lhx6.GABA-1	0.791007731702168	1	2
C4-21 Pre-1 GABA-1 SEMA3C TAC3	C465-314: Cxcl14.Tac1.Meis2.GABA-5	C3-26 Pre-1 GABA-1 SEMA3C	C286-193: Cxcl14.Tac1.Meis2.GABA-5	0.713035125419055	1	3
C4-210 Pre-2 GABA-4 CHST9 TMEM255A	C465-251: Crhbp.Dlx1.Lhx6.GABA-1	C3-80 Pre-2 GABA-4 CHST9	C286-155: Crhbp.Dlx1.Lhx6.GABA-1	0.884314225519273	1	2
C4-211 Pre-2 GABA-4 POSTN	C465-244: Dlx6os1.St18.Lhx6.GABA-1	C3-81 Pre-2 GABA-4 POSTN	C286-151: St18.Lhx6.GABA-1	0.871234302699607	1	2
C4-214 Post-1 GLU-1 EBF2 THSD7B	C465-14: Tcf4.Nfia.Nxph4.GLU-2	C3-82 Post-1 GLU-1 EBF2	C286-9: Nfia.Nxph4.GLU-2	0.728408576849527	1	2
C4-218 Post-1 GLU-1 ZEB2 FREM2	C465-48: Rxfp1.Lmx1a.GLU-2	C3-83 Post-1 GLU-1 ZEB2	C286-28: Rxfp1.Lmx1a.GLU-2	0.871490158439444	1	5
C4-219 Post-1 GLU-1 ZEB2 SLC26A7	C465-48: Rxfp1.Lmx1a.GLU-2	C3-83 Post-1 GLU-1 ZEB2	C286-28: Rxfp1.Lmx1a.GLU-2	0.928968637564762	1	5
C4-220 Post-1 GLU-1 ZEB2 VIP	C465-48: Rxfp1.Lmx1a.GLU-2	C3-83 Post-1 GLU-1 ZEB2	C286-28: Rxfp1.Lmx1a.GLU-2	0.76238347808905	1	5
C4-221 Post-1 GLU-1 ZEB2 IGF1	C465-48: Rxfp1.Lmx1a.GLU-2	C3-83 Post-1 GLU-1 ZEB2	C286-28: Rxfp1.Lmx1a.GLU-2	0.743713666233283	1	5
C4-223 Post-1 GLU-1 ZNF676 EBF2	C465-7: Irx3.Lmx1a.Pitx2.Irx5.GLU-2	C3-84 Post-1 GLU-1 ZNF676	C286-4: Lmx1a.Pitx2.Irx5.GLU-2	0.81903568490898	1	4
C4-224 Post-1 GLU-1 ZNF676 NXPH2	C465-7: Irx3.Lmx1a.Pitx2.Irx5.GLU-2	C3-84 Post-1 GLU-1 ZNF676	C286-4: Lmx1a.Pitx2.Irx5.GLU-2	0.772807026541392	1	4
C4-225 Post-1 GLU-1 ZNF676 HMCN1	C465-4: Egflam.Lmx1a.Pitx2.Irx5.GLU-2	C3-84 Post-1 GLU-1 ZNF676	C286-4: Lmx1a.Pitx2.Irx5.GLU-2	0.754196119020885	1	1
C4-226 Post-1 GLU-1 ZNF676 IRX6	C465-6: Barhl2.Lmx1a.Pitx2.Irx5.GLU-2	C3-84 Post-1 GLU-1 ZNF676	C286-4: Lmx1a.Pitx2.Irx5.GLU-2	0.816597959951681	1	1
C4-228 Post-1 GLU-1 ZNF676 POU6F2	C465-7: Irx3.Lmx1a.Pitx2.Irx5.GLU-2	C3-84 Post-1 GLU-1 ZNF676	C286-4: Lmx1a.Pitx2.Irx5.GLU-2	0.78208035886989	1	4
C4-230 Post-1 GLU-1 EBF2 IL1RAPL2	C465-47: Th.Ebf3.Lmx1a.GLU-2	C3-85 Post-1 GLU-1 EBF2	C286-27: Ebf3.Lmx1a.GLU-2	0.922859396944572	1	1
C4-231 Post-1 GLU-1 EBF2 PLEKHH2	C465-46: Crhbp.Ebf3.Lmx1a.GLU-2	C3-85 Post-1 GLU-1 EBF2	C286-27: Ebf3.Lmx1a.GLU-2	0.88133645591077	1	1
C4-232 Post-1 GLU-2 CRYBG3 THSD7B	C465-44: Tac2.Ebf3.Foxb1.GLU-2	C3-86 Post-1 GLU-2 CRYBG3	C286-26: Ebf3.Foxb1.GLU-2	0.834783500502058	1	1
C4-234 Post-1 GLU-2 IL1RAPL2 NWD2	C465-41: Dkk2.Pde11a.Foxb1.GLU-2	C3-87 Post-1 GLU-2 IL1RAPL2	C286-25: Pde11a.Foxb1.GLU-2	0.95484475223644	1	1
C4-236 Post-1 GLU-2 IL1RAPL2 NTS	C465-45: Gpc5.Ebf3.Foxb1.GLU-2	C3-87 Post-1 GLU-2 IL1RAPL2	C286-26: Ebf3.Foxb1.GLU-2	0.822936503087798	1	1
C4-237 Post-1 GLU-2 IL1RAPL2 FIGN	C465-42: Ebf3.Pde11a.Foxb1.GLU-2	C3-87 Post-1 GLU-2 IL1RAPL2	C286-25: Pde11a.Foxb1.GLU-2	0.803467659272035	1	1
C4-24 Pre-1 GABA-1 SEMA3C CFH	C465-314: Cxcl14.Tac1.Meis2.GABA-5	C3-26 Pre-1 GABA-1 SEMA3C	C286-193: Cxcl14.Tac1.Meis2.GABA-5	0.780133674681418	1	3
C4-247 Post-1 GLU-3 AGTR1 EBF2	C465-8: Slc6a3.Pitx2.Irx5.GLU-2	C3-92 Post-1 GLU-3 AGTR1	C286-5: Slc6a3.Pitx2.Irx5.GLU-2	0.978261192775088	1	1
C4-248 Post-1 GLU-3 AGTR1 EPB41L4A	C465-10: Pard3b.Nts.Irx5.GLU-2	C3-92 Post-1 GLU-3 AGTR1	C286-6: Nts.Irx5.GLU-2	0.935960403595827	2	1
C4-249 Post-1 GLU-3 CBLN2 ADAMTS17	C465-11: Rxfp1.Irx5.GLU-2	C3-93 Post-1 GLU-3 CBLN2	C286-7: Rxfp1.Irx5.GLU-2	0.905649524815994	1	3
C4-250 Post-1 GLU-3 CBLN2 CHST9	C465-11: Rxfp1.Irx5.GLU-2	C3-93 Post-1 GLU-3 CBLN2	C286-7: Rxfp1.Irx5.GLU-2	0.901520820914071	1	3
C4-251 Post-1 GLU-3 CBLN2 CALCRL	C465-11: Rxfp1.Irx5.GLU-2	C3-93 Post-1 GLU-3 CBLN2	C286-7: Rxfp1.Irx5.GLU-2	0.897522845797158	1	3
C4-253 Post-1 GLU-4 THSD7B SGCG	C465-5: Cdh23.Lmx1a.Pitx2.Irx5.GLU-2	C3-94 Post-1 GLU-4 THSD7B	C286-4: Lmx1a.Pitx2.Irx5.GLU-2	0.768432832509459	1	2
