from	to	isLeaf	level	count	totalCount	from_named	to_named
C1-12	C2-48	FALSE	4	5	6	C1-12 Vascular	C2-48 Vascular
C1-13	C2-49	FALSE	4	8	9	C1-13 Immune	C2-49 Immune Microglia
C1-13	C2-50	FALSE	4	1	2	C1-13 Immune	C2-50 Immune Macrophages
C1-13	C2-51	FALSE	4	1	2	C1-13 Immune	C2-51 Immune Myocytes
C1-13	C2-52	FALSE	4	1	2	C1-13 Immune	C2-52 Immune Tcells
C1-2	C2-4	FALSE	4	3	4	C1-2 Ependymal	C2-4 Ependymal
C1-3	C2-5	FALSE	4	2	3	C1-3 Oligo-Precursor	C2-5 Oligo-Precursor-1
C1-3	C2-6	FALSE	4	1	2	C1-3 Oligo-Precursor	C2-6 Oligo-Precursor-2
C1-4	C2-7	FALSE	4	3	4	C1-4 Oligo-Mature	C2-7 Oligo-Mature-1
C1-4	C2-8	FALSE	4	1	2	C1-4 Oligo-Mature	C2-8 Oligo-Mature-2
C1-5	C2-9	FALSE	4	4	19	C1-5 Pre-1	C2-9 Pre-1 GABA-8
C1-5	C2-10	FALSE	4	3	22	C1-5 Pre-1	C2-10 Pre-1 GABA-1
C1-5	C2-11	FALSE	4	3	15	C1-5 Pre-1	C2-11 Pre-1 GABA-2
C1-5	C2-12	FALSE	4	4	15	C1-5 Pre-1	C2-12 Pre-1 GABA-3
C1-5	C2-13	FALSE	4	1	4	C1-5 Pre-1	C2-13 Pre-1 GABA-4
C1-5	C2-14	FALSE	4	1	4	C1-5 Pre-1	C2-14 Pre-1 GABA-5
C1-5	C2-15	FALSE	4	1	3	C1-5 Pre-1	C2-15 Pre-1 GABA-6
C1-5	C2-16	FALSE	4	2	6	C1-5 Pre-1	C2-16 Pre-1 GABA-7
C1-6	C2-17	FALSE	4	1	6	C1-6 Mid-1	C2-17 Mid-1 GABA-1
C1-6	C2-18	FALSE	4	6	29	C1-6 Mid-1	C2-18 Mid-1 GABA-2
C1-6	C2-19	FALSE	4	6	35	C1-6 Mid-1	C2-19 Mid-1 GABA-3
C1-6	C2-20	FALSE	4	3	18	C1-6 Mid-1	C2-20 Mid-1 GABA-4
C1-6	C2-21	FALSE	4	5	25	C1-6 Mid-1	C2-21 Mid-1 GABA-5
C1-6	C2-22	FALSE	4	4	18	C1-6 Mid-1	C2-22 Mid-1 GABA-6
C1-6	C2-23	FALSE	4	2	8	C1-6 Mid-1	C2-23 Mid-1 GABA-7
C1-6	C2-24	FALSE	4	1	3	C1-6 Mid-1	C2-24 Mid-1 GABA-8
C1-7	C2-25	FALSE	4	2	8	C1-7 Pre-2	C2-25 Pre-2 GABA-1
C1-7	C2-26	FALSE	4	2	13	C1-7 Pre-2	C2-26 Pre-2 GABA-2
C1-7	C2-27	FALSE	4	2	14	C1-7 Pre-2	C2-27 Pre-2 GABA-3
C1-7	C2-28	FALSE	4	2	5	C1-7 Pre-2	C2-28 Pre-2 CHOL-1
C1-7	C2-29	FALSE	4	5	22	C1-7 Pre-2	C2-29 Pre-2 GABA-4
C1-8	C2-30	FALSE	4	4	25	C1-8 Post-1	C2-30 Post-1 GLU-1
C1-8	C2-31	FALSE	4	6	22	C1-8 Post-1	C2-31 Post-1 GLU-2
C1-8	C2-32	FALSE	4	2	8	C1-8 Post-1	C2-32 Post-1 GLU-3
C1-8	C2-33	FALSE	4	3	12	C1-8 Post-1	C2-33 Post-1 GLU-4
C1-9	C2-34	FALSE	4	4	22	C1-9 Mid-3	C2-34 Mid-3 GLU-1
C1-9	C2-35	FALSE	4	5	22	C1-9 Mid-3	C2-35 Mid-3 GLU-2
C1-9	C2-36	FALSE	4	5	25	C1-9 Mid-3	C2-36 Mid-3 GLU-3
C1-9	C2-37	FALSE	4	2	5	C1-9 Mid-3	C2-37 Mid-3 GLU-4
C1-9	C2-38	FALSE	4	1	4	C1-9 Mid-3	C2-38 Mid-3 GLU-5
C2-1	C3-1	TRUE	5	0	1	C2-1 Astrocytes-1	C3-1 Astrocytes-1
C2-10	C3-26	FALSE	5	11	12	C2-10 Pre-1 GABA-1	C3-26 Pre-1 GABA-1 SEMA3C
C2-10	C3-27	FALSE	5	4	5	C2-10 Pre-1 GABA-1	C3-27 Pre-1 GABA-1 PRKCH
C2-10	C3-28	FALSE	5	3	4	C2-10 Pre-1 GABA-1	C3-28 Pre-1 GABA-1 KCNH8
C2-11	C3-29	FALSE	5	7	8	C2-11 Pre-1 GABA-2	C3-29 Pre-1 GABA-2 EYA2
C2-11	C3-30	FALSE	5	2	3	C2-11 Pre-1 GABA-2	C3-30 Pre-1 GABA-2 SLC22A10
C2-11	C3-31	FALSE	5	2	3	C2-11 Pre-1 GABA-2	C3-31 Pre-1 GABA-2 CXCL14
C2-12	C3-32	FALSE	5	2	3	C2-12 Pre-1 GABA-3	C3-32 Pre-1 GABA-3 PRDM16
C2-12	C3-33	FALSE	5	2	3	C2-12 Pre-1 GABA-3	C3-33 Pre-1 GABA-3 PAX6
C2-12	C3-34	FALSE	5	4	5	C2-12 Pre-1 GABA-3	C3-34 Pre-1 GABA-3 CRH
C2-12	C3-35	FALSE	5	2	3	C2-12 Pre-1 GABA-3	C3-35 Pre-1 GABA-3 TBL1Y
C2-13	C3-36	FALSE	5	2	3	C2-13 Pre-1 GABA-4	C3-36 Pre-1 GABA-4
C2-14	C3-37	FALSE	5	2	3	C2-14 Pre-1 GABA-5	C3-37 Pre-1 GABA-5
C2-15	C3-38	FALSE	5	1	2	C2-15 Pre-1 GABA-6	C3-38 Pre-1 GABA-6
C2-16	C3-39	FALSE	5	2	3	C2-16 Pre-1 GABA-7	C3-39 Pre-1 GABA-7 DCDC2C
C2-16	C3-40	FALSE	5	1	2	C2-16 Pre-1 GABA-7	C3-40 Pre-1 GABA-7 FREM2
C2-17	C3-41	FALSE	5	4	5	C2-17 Mid-1 GABA-1	C3-41 Mid-1 GABA-1
C2-18	C3-42	FALSE	5	5	6	C2-18 Mid-1 GABA-2	C3-42 Mid-1 GABA-2 LGR5
C2-18	C3-43	FALSE	5	6	7	C2-18 Mid-1 GABA-2	C3-43 Mid-1 GABA-2 CLMP
C2-18	C3-44	FALSE	5	4	5	C2-18 Mid-1 GABA-2	C3-44 Mid-1 GABA-2 ERFL
C2-18	C3-45	FALSE	5	2	3	C2-18 Mid-1 GABA-2	C3-45 Mid-1 GABA-2 FAM9B
C2-18	C3-46	FALSE	5	4	5	C2-18 Mid-1 GABA-2	C3-46 Mid-1 GABA-2 PMFBP1
C2-18	C3-47	FALSE	5	1	2	C2-18 Mid-1 GABA-2	C3-47 Mid-1 GABA-2 SIX6
C2-19	C3-48	FALSE	5	5	6	C2-19 Mid-1 GABA-3	C3-48 Mid-1 GABA-3 LHX1
C2-19	C3-49	FALSE	5	6	7	C2-19 Mid-1 GABA-3	C3-49 Mid-1 GABA-3 ZNF385D
C2-19	C3-50	FALSE	5	5	6	C2-19 Mid-1 GABA-3	C3-50 Mid-1 GABA-3 LHX6
C2-19	C3-51	FALSE	5	3	4	C2-19 Mid-1 GABA-3	C3-51 Mid-1 GABA-3 NR2F1
C2-19	C3-52	FALSE	5	6	7	C2-19 Mid-1 GABA-3	C3-52 Mid-1 GABA-3 ECEL1
C2-19	C3-53	FALSE	5	3	4	C2-19 Mid-1 GABA-3	C3-53 Mid-1 GABA-3 SFRP1
C2-2	C3-2	TRUE	5	0	1	C2-2 Astrocytes-2	C3-2 Astrocytes-2 VAV3
C2-2	C3-3	TRUE	5	0	1	C2-2 Astrocytes-2	C3-3 Astrocytes-2 CPAMD8
C2-2	C3-4	TRUE	5	0	1	C2-2 Astrocytes-2	C3-4 Astrocytes-2 NEFM
C2-2	C3-5	TRUE	5	0	1	C2-2 Astrocytes-2	C3-5 Astrocytes-2 TSPAN18
C2-2	C3-6	TRUE	5	0	1	C2-2 Astrocytes-2	C3-6 Astrocytes-2 CHI3L1
C2-2	C3-7	TRUE	5	0	1	C2-2 Astrocytes-2	C3-7 Astrocytes-2 LAMA2
C2-2	C3-8	TRUE	5	0	1	C2-2 Astrocytes-2	C3-8 Astrocytes-2 HES5
C2-2	C3-9	TRUE	5	0	1	C2-2 Astrocytes-2	C3-9 Astrocytes-2 SERPINA3
C2-20	C3-54	FALSE	5	4	5	C2-20 Mid-1 GABA-4	C3-54 Mid-1 GABA-4 NTS
C2-20	C3-55	FALSE	5	3	4	C2-20 Mid-1 GABA-4	C3-55 Mid-1 GABA-4 OR8A1
C2-20	C3-56	FALSE	5	7	8	C2-20 Mid-1 GABA-4	C3-56 Mid-1 GABA-4 HMX3
C2-21	C3-57	FALSE	5	5	6	C2-21 Mid-1 GABA-5	C3-57 Mid-1 GABA-5 TRPC4
C2-21	C3-58	FALSE	5	2	3	C2-21 Mid-1 GABA-5	C3-58 Mid-1 GABA-5 GAL
C2-21	C3-59	FALSE	5	5	6	C2-21 Mid-1 GABA-5	C3-59 Mid-1 GABA-5 DLK1
C2-21	C3-60	FALSE	5	4	5	C2-21 Mid-1 GABA-5	C3-60 Mid-1 GABA-5 RORB
C2-21	C3-61	FALSE	5	3	4	C2-21 Mid-1 GABA-5	C3-61 Mid-1 GABA-5 FOXD2
C2-22	C3-62	FALSE	5	2	3	C2-22 Mid-1 GABA-6	C3-62 Mid-1 GABA-6 ADAMTSL1
C2-22	C3-63	FALSE	5	4	5	C2-22 Mid-1 GABA-6	C3-63 Mid-1 GABA-6 TRHDE
C2-22	C3-64	FALSE	5	3	4	C2-22 Mid-1 GABA-6	C3-64 Mid-1 GABA-6 SLC10A4
C2-22	C3-65	FALSE	5	4	5	C2-22 Mid-1 GABA-6	C3-65 Mid-1 GABA-6 IL13RA1
C2-23	C3-66	FALSE	5	4	5	C2-23 Mid-1 GABA-7	C3-66 Mid-1 GABA-7 KCNH8
C2-23	C3-67	FALSE	5	1	2	C2-23 Mid-1 GABA-7	C3-67 Mid-1 GABA-7 TRABD2B
C2-24	C3-68	FALSE	5	1	2	C2-24 Mid-1 GABA-8	C3-68 Mid-1 GABA-8
C2-25	C3-69	FALSE	5	2	3	C2-25 Pre-2 GABA-1	C3-69 Pre-2 GABA-1 TAC3
C2-25	C3-70	FALSE	5	3	4	C2-25 Pre-2 GABA-1	C3-70 Pre-2 GABA-1 IL1RAPL2
C2-26	C3-71	FALSE	5	5	6	C2-26 Pre-2 GABA-2	C3-71 Pre-2 GABA-2 MDFIC
C2-26	C3-72	FALSE	5	5	6	C2-26 Pre-2 GABA-2	C3-72 Pre-2 GABA-2 LHX8
C2-27	C3-73	FALSE	5	5	6	C2-27 Pre-2 GABA-3	C3-73 Pre-2 GABA-3 NXPH2
C2-27	C3-74	FALSE	5	6	7	C2-27 Pre-2 GABA-3	C3-74 Pre-2 GABA-3 GBX1
C2-28	C3-75	FALSE	5	1	2	C2-28 Pre-2 CHOL-1	C3-75 Pre-2 CHOL-1 BMPR1B
C2-28	C3-76	FALSE	5	1	2	C2-28 Pre-2 CHOL-1	C3-76 Pre-2 CHOL-1 MEPE
C2-29	C3-77	FALSE	5	4	5	C2-29 Pre-2 GABA-4	C3-77 Pre-2 GABA-4 FIGN
C2-29	C3-78	FALSE	5	7	8	C2-29 Pre-2 GABA-4	C3-78 Pre-2 GABA-4 LHX6
C2-29	C3-79	FALSE	5	2	3	C2-29 Pre-2 GABA-4	C3-79 Pre-2 GABA-4 SATB2
C2-29	C3-80	FALSE	5	2	3	C2-29 Pre-2 GABA-4	C3-80 Pre-2 GABA-4 CHST9
C2-29	C3-81	FALSE	5	1	2	C2-29 Pre-2 GABA-4	C3-81 Pre-2 GABA-4 POSTN
C2-3	C3-10	TRUE	5	0	1	C2-3 Astrocytes-3	C3-10 Astrocytes-3 NRXN3
C2-3	C3-11	TRUE	5	0	1	C2-3 Astrocytes-3	C3-11 Astrocytes-3 PPP1R1A
C2-30	C3-82	FALSE	5	5	6	C2-30 Post-1 GLU-1	C3-82 Post-1 GLU-1 EBF2
C2-30	C3-83	FALSE	5	6	7	C2-30 Post-1 GLU-1	C3-83 Post-1 GLU-1 ZEB2
C2-30	C3-84	FALSE	5	7	8	C2-30 Post-1 GLU-1	C3-84 Post-1 GLU-1 ZNF676
C2-30	C3-85	FALSE	5	2	3	C2-30 Post-1 GLU-1	C3-85 Post-1 GLU-1 EBF2
C2-31	C3-86	FALSE	5	2	3	C2-31 Post-1 GLU-2	C3-86 Post-1 GLU-2 CRYBG3
C2-31	C3-87	FALSE	5	4	5	C2-31 Post-1 GLU-2	C3-87 Post-1 GLU-2 IL1RAPL2
C2-31	C3-88	FALSE	5	4	5	C2-31 Post-1 GLU-2	C3-88 Post-1 GLU-2 C1QL2
C2-31	C3-89	FALSE	5	1	2	C2-31 Post-1 GLU-2	C3-89 Post-1 GLU-2 PAX7
C2-31	C3-90	FALSE	5	3	4	C2-31 Post-1 GLU-2	C3-90 Post-1 GLU-2 ADGRG4
C2-31	C3-91	FALSE	5	1	2	C2-31 Post-1 GLU-2	C3-91 Post-1 GLU-2 PGM5
C2-32	C3-92	FALSE	5	2	3	C2-32 Post-1 GLU-3	C3-92 Post-1 GLU-3 AGTR1
C2-32	C3-93	FALSE	5	3	4	C2-32 Post-1 GLU-3	C3-93 Post-1 GLU-3 CBLN2
C2-33	C3-94	FALSE	5	4	5	C2-33 Post-1 GLU-4	C3-94 Post-1 GLU-4 THSD7B
C2-33	C3-95	FALSE	5	2	3	C2-33 Post-1 GLU-4	C3-95 Post-1 GLU-4 CRNDE
C2-33	C3-96	FALSE	5	2	3	C2-33 Post-1 GLU-4	C3-96 Post-1 GLU-4 NDNF
C2-34	C3-97	FALSE	5	4	5	C2-34 Mid-3 GLU-1	C3-97 Mid-3 GLU-1 RSPO3
C2-34	C3-98	FALSE	5	2	3	C2-34 Mid-3 GLU-1	C3-98 Mid-3 GLU-1 ONECUT3
C2-34	C3-99	FALSE	5	8	9	C2-34 Mid-3 GLU-1	C3-99 Mid-3 GLU-1 DLK1
C2-34	C3-100	FALSE	5	3	4	C2-34 Mid-3 GLU-1	C3-100 Mid-3 GLU-1 OTP
C2-35	C3-101	FALSE	5	5	6	C2-35 Mid-3 GLU-2	C3-101 Mid-3 GLU-2 CBLN2
C2-35	C3-102	FALSE	5	4	5	C2-35 Mid-3 GLU-2	C3-102 Mid-3 GLU-2 OTP
C2-35	C3-103	FALSE	5	2	3	C2-35 Mid-3 GLU-2	C3-103 Mid-3 GLU-2 EBF2
C2-35	C3-104	FALSE	5	2	3	C2-35 Mid-3 GLU-2	C3-104 Mid-3 GLU-2 ITGA8
C2-35	C3-105	FALSE	5	3	4	C2-35 Mid-3 GLU-2	C3-105 Mid-3 GLU-2 ONECUT3
C2-36	C3-106	FALSE	5	6	7	C2-36 Mid-3 GLU-3	C3-106 Mid-3 GLU-3 AVP
C2-36	C3-107	FALSE	5	5	6	C2-36 Mid-3 GLU-3	C3-107 Mid-3 GLU-3 SLITRK6
C2-36	C3-108	FALSE	5	3	4	C2-36 Mid-3 GLU-3	C3-108 Mid-3 GLU-3 CD36
C2-36	C3-109	FALSE	5	3	4	C2-36 Mid-3 GLU-3	C3-109 Mid-3 GLU-3 METTL11B
C2-36	C3-110	FALSE	5	2	3	C2-36 Mid-3 GLU-3	C3-110 Mid-3 GLU-3 OR10AG1
C2-37	C3-111	FALSE	5	1	2	C2-37 Mid-3 GLU-4	C3-111 Mid-3 GLU-4 MEDAG
C2-37	C3-112	FALSE	5	1	2	C2-37 Mid-3 GLU-4	C3-112 Mid-3 GLU-4 OXT
C2-38	C3-113	FALSE	5	2	3	C2-38 Mid-3 GLU-5	C3-113 Mid-3 GLU-5
C2-39	C3-114	FALSE	5	4	5	C2-39 Mid-2 GLU-1	C3-114 Mid-2 GLU-1 CHST9
C2-39	C3-115	FALSE	5	6	7	C2-39 Mid-2 GLU-1	C3-115 Mid-2 GLU-1 ITGA2
C2-39	C3-116	FALSE	5	3	4	C2-39 Mid-2 GLU-1	C3-116 Mid-2 GLU-1 SOX14
C2-39	C3-117	FALSE	5	3	4	C2-39 Mid-2 GLU-1	C3-117 Mid-2 GLU-1 LHX9
C2-4	C3-12	TRUE	5	0	1	C2-4 Ependymal	C3-12 Ependymal Ependymocytes
C2-4	C3-13	TRUE	5	0	1	C2-4 Ependymal	C3-13 Ependymal Tanycytes
C2-4	C3-14	TRUE	5	0	1	C2-4 Ependymal	C3-14 Ependymal Choroid
C2-40	C3-118	FALSE	5	7	8	C2-40 Mid-2 GLU-2	C3-118 Mid-2 GLU-2 CALB1
C2-40	C3-119	FALSE	5	4	5	C2-40 Mid-2 GLU-2	C3-119 Mid-2 GLU-2 MEGF10
C2-40	C3-120	FALSE	5	4	5	C2-40 Mid-2 GLU-2	C3-120 Mid-2 GLU-2 ARHGAP42
C2-40	C3-121	FALSE	5	4	5	C2-40 Mid-2 GLU-2	C3-121 Mid-2 GLU-2 SLC22A10
C2-40	C3-122	FALSE	5	4	5	C2-40 Mid-2 GLU-2	C3-122 Mid-2 GLU-2 PGR
C2-41	C3-123	FALSE	5	5	6	C2-41 Mid-2 GABA-GLU-1	C3-123 Mid-2 GABA-GLU-1 RGS22
C2-41	C3-124	FALSE	5	2	3	C2-41 Mid-2 GABA-GLU-1	C3-124 Mid-2 GABA-GLU-1 P2RX2
C2-42	C3-125	FALSE	5	1	2	C2-42 Mid-2 GABA-GLU-2	C3-125 Mid-2 GABA-GLU-2 NTS
C2-42	C3-126	FALSE	5	6	7	C2-42 Mid-2 GABA-GLU-2	C3-126 Mid-2 GABA-GLU-2 PPP1R17
C2-43	C3-127	FALSE	5	3	4	C2-43 Mid-2 GLU-3	C3-127 Mid-2 GLU-3 PDZRN4
C2-43	C3-128	FALSE	5	1	2	C2-43 Mid-2 GLU-3	C3-128 Mid-2 GLU-3 PMCH
C2-44	C3-129	FALSE	5	3	4	C2-44 Mid-2 GABA-GLU-3	C3-129 Mid-2 GABA-GLU-3 POMC
C2-44	C3-130	FALSE	5	5	6	C2-44 Mid-2 GABA-GLU-3	C3-130 Mid-2 GABA-GLU-3 PDGFD
C2-44	C3-131	FALSE	5	3	4	C2-44 Mid-2 GABA-GLU-3	C3-131 Mid-2 GABA-GLU-3 LEF1
C2-44	C3-132	FALSE	5	8	9	C2-44 Mid-2 GABA-GLU-3	C3-132 Mid-2 GABA-GLU-3 PGR
C2-45	C3-133	FALSE	5	3	4	C2-45 Mid-2 GLU-4	C3-133 Mid-2 GLU-4 ANKRD30A
C2-45	C3-134	FALSE	5	7	8	C2-45 Mid-2 GLU-4	C3-134 Mid-2 GLU-4 WNT7B
C2-45	C3-135	FALSE	5	3	4	C2-45 Mid-2 GLU-4	C3-135 Mid-2 GLU-4 HDC
C2-45	C3-136	FALSE	5	2	3	C2-45 Mid-2 GLU-4	C3-136 Mid-2 GLU-4 EYA4
C2-46	C3-137	FALSE	5	2	3	C2-46 Post-2 GLU-1	C3-137 Post-2 GLU-1 ADGRL4
C2-46	C3-138	FALSE	5	2	3	C2-46 Post-2 GLU-1	C3-138 Post-2 GLU-1 KIT
C2-46	C3-139	FALSE	5	3	4	C2-46 Post-2 GLU-1	C3-139 Post-2 GLU-1 SALL3
C2-47	C3-140	FALSE	5	2	3	C2-47 Post-2 GLU-2	C3-140 Post-2 GLU-2
C2-48	C3-141	TRUE	5	0	1	C2-48 Vascular	C3-141 Vascular Endothelial
C2-48	C3-142	TRUE	5	0	1	C2-48 Vascular	C3-142 Vascular Fibroblasts
C2-48	C3-143	TRUE	5	0	1	C2-48 Vascular	C3-143 Vascular PTGDR
C2-48	C3-144	TRUE	5	0	1	C2-48 Vascular	C3-144 Vascular Pericytes
C2-48	C3-145	TRUE	5	0	1	C2-48 Vascular	C3-145 Vascular SMCs
C2-49	C3-146	TRUE	5	0	1	C2-49 Immune Microglia	C3-146 Immune Microglia XACT
C2-49	C3-147	TRUE	5	0	1	C2-49 Immune Microglia	C3-147 Immune Microglia HAMP
C2-49	C3-148	TRUE	5	0	1	C2-49 Immune Microglia	C3-148 Immune Microglia GPNMB
C2-49	C3-149	TRUE	5	0	1	C2-49 Immune Microglia	C3-149 Immune Microglia ERC2
C2-49	C3-150	TRUE	5	0	1	C2-49 Immune Microglia	C3-150 Immune Microglia MOBP
C2-49	C3-151	TRUE	5	0	1	C2-49 Immune Microglia	C3-151 Immune Microglia SPON1
C2-49	C3-152	TRUE	5	0	1	C2-49 Immune Microglia	C3-152 Immune Microglia SLC2A3
C2-49	C3-153	TRUE	5	0	1	C2-49 Immune Microglia	C3-153 Immune Microglia STMN2
C2-5	C3-15	TRUE	5	0	1	C2-5 Oligo-Precursor-1	C3-15 Oligo-Precursor-1 NELL1
C2-5	C3-16	TRUE	5	0	1	C2-5 Oligo-Precursor-1	C3-16 Oligo-Precursor-1 MROH9
C2-50	C3-154	TRUE	5	0	1	C2-50 Immune Macrophages	C3-154 Immune Macrophages
C2-51	C3-155	TRUE	5	0	1	C2-51 Immune Myocytes	C3-155 Immune Myocytes
C2-52	C3-156	TRUE	5	0	1	C2-52 Immune Tcells	C3-156 Immune Tcells
C2-6	C3-17	TRUE	5	0	1	C2-6 Oligo-Precursor-2	C3-17 Oligo-Precursor-2
C2-7	C3-18	TRUE	5	0	1	C2-7 Oligo-Mature-1	C3-18 Oligo-Mature-1 NEDD4L
C2-7	C3-19	TRUE	5	0	1	C2-7 Oligo-Mature-1	C3-19 Oligo-Mature-1 ADAMTS12
C2-7	C3-20	TRUE	5	0	1	C2-7 Oligo-Mature-1	C3-20 Oligo-Mature-1 TRPM3
C2-8	C3-21	TRUE	5	0	1	C2-8 Oligo-Mature-2	C3-21 Oligo-Mature-2
C2-9	C3-22	FALSE	5	4	5	C2-9 Pre-1 GABA-8	C3-22 Pre-1 GABA-8 PRKCH
C2-9	C3-23	FALSE	5	2	3	C2-9 Pre-1 GABA-8	C3-23 Pre-1 GABA-8 DRD1
C2-9	C3-24	FALSE	5	6	7	C2-9 Pre-1 GABA-8	C3-24 Pre-1 GABA-8 SLC1A3
C2-9	C3-25	FALSE	5	2	3	C2-9 Pre-1 GABA-8	C3-25 Pre-1 GABA-8 DRD2
C3-100	C4-274	TRUE	6	0	1	C3-100 Mid-3 GLU-1 OTP	C4-274 Mid-3 GLU-1 OTP SIM1
C3-100	C4-275	TRUE	6	0	1	C3-100 Mid-3 GLU-1 OTP	C4-275 Mid-3 GLU-1 OTP ZIC2
C3-100	C4-276	TRUE	6	0	1	C3-100 Mid-3 GLU-1 OTP	C4-276 Mid-3 GLU-1 OTP MEIS1
C3-101	C4-277	TRUE	6	0	1	C3-101 Mid-3 GLU-2 CBLN2	C4-277 Mid-3 GLU-2 CBLN2 PTPRC
C3-101	C4-278	TRUE	6	0	1	C3-101 Mid-3 GLU-2 CBLN2	C4-278 Mid-3 GLU-2 CBLN2 EBF1
C3-101	C4-279	TRUE	6	0	1	C3-101 Mid-3 GLU-2 CBLN2	C4-279 Mid-3 GLU-2 CBLN2 ONECUT3
C3-101	C4-280	TRUE	6	0	1	C3-101 Mid-3 GLU-2 CBLN2	C4-280 Mid-3 GLU-2 CBLN2 SIM2
C3-101	C4-281	TRUE	6	0	1	C3-101 Mid-3 GLU-2 CBLN2	C4-281 Mid-3 GLU-2 CBLN2 ADAMTS12
C3-102	C4-282	TRUE	6	0	1	C3-102 Mid-3 GLU-2 OTP	C4-282 Mid-3 GLU-2 OTP EBF1
C3-102	C4-283	TRUE	6	0	1	C3-102 Mid-3 GLU-2 OTP	C4-283 Mid-3 GLU-2 OTP AGTR1
C3-102	C4-284	TRUE	6	0	1	C3-102 Mid-3 GLU-2 OTP	C4-284 Mid-3 GLU-2 OTP ADAM2
C3-102	C4-285	TRUE	6	0	1	C3-102 Mid-3 GLU-2 OTP	C4-285 Mid-3 GLU-2 OTP NXPH2
C3-103	C4-286	TRUE	6	0	1	C3-103 Mid-3 GLU-2 EBF2	C4-286 Mid-3 GLU-2 EBF2 LRP2
C3-103	C4-287	TRUE	6	0	1	C3-103 Mid-3 GLU-2 EBF2	C4-287 Mid-3 GLU-2 EBF2 EBF1
C3-104	C4-288	TRUE	6	0	1	C3-104 Mid-3 GLU-2 ITGA8	C4-288 Mid-3 GLU-2 ITGA8 RORB
C3-104	C4-289	TRUE	6	0	1	C3-104 Mid-3 GLU-2 ITGA8	C4-289 Mid-3 GLU-2 ITGA8 LRP2
C3-105	C4-290	TRUE	6	0	1	C3-105 Mid-3 GLU-2 ONECUT3	C4-290 Mid-3 GLU-2 ONECUT3 CARTPT
C3-105	C4-291	TRUE	6	0	1	C3-105 Mid-3 GLU-2 ONECUT3	C4-291 Mid-3 GLU-2 ONECUT3 ZIC2
C3-105	C4-292	TRUE	6	0	1	C3-105 Mid-3 GLU-2 ONECUT3	C4-292 Mid-3 GLU-2 ONECUT3 SIM2
C3-106	C4-293	TRUE	6	0	1	C3-106 Mid-3 GLU-3 AVP	C4-293 Mid-3 GLU-3 AVP AGRP
C3-106	C4-294	TRUE	6	0	1	C3-106 Mid-3 GLU-3 AVP	C4-294 Mid-3 GLU-3 AVP TEX41
C3-106	C4-295	TRUE	6	0	1	C3-106 Mid-3 GLU-3 AVP	C4-295 Mid-3 GLU-3 AVP NTS
