human_cluster	GLP1R	GIPR	POMC	SST	CALCR	TBX19	LEPR	TRH	AVP	SIM1	LMX1A	SLC32A1	top_markers	region	region_color	mouse_cluster	species_cor	from_occ	Glp1r	Gipr	Pomc	Sst	Calcr	Tbx19	Lepr	Trh	Avp	Sim1	Lmx1a	Slc32a1
C4-151 Mid-1 GABA-6 TRHDE RELN	0.13	0	0.1	0.58	0.27	0.44	0.16	0.02	1.24	0.01	0.01	0.41	SLC10A4|ITGA2|SOX6|RORB|RELN	""	""	C465-217: Tbx19.Vcan.Col6a1.Il1rapl2.GABA-1	0.835	1	0.4	0.01	0.38	0.81	0.05	0.3	0.02	0.05	0.66	0.01	0	1.29
C4-231 Post-1 GLU-1 EBF2 PLEKHH2	0.04	0.51	0.04	0.02	0.03	0.02	0.41	0	0	0.02	1.16	0.15	EBF2|PLEKHH2|TTC6|FOXA1|LMX1A	MAM	#FFE926	C465-46: Crhbp.Ebf3.Lmx1a.GLU-2	0.881	1	0.01	0.05	0.29	0.58	0.04	0	0.09	0.14	0.73	0.06	0.58	0.25
C4-217 Post-1 GLU-1 ZEB2 POSTN	0.02	0.27	0.04	0.26	0.01	0.02	0.32	0.02	0.05	0.11	1.66	0	LMX1A|TTC6|NEUROD6|ITGA8|FOXA1	""	""	""														
C4-216 Post-1 GLU-1 EBF2 POSTN	0.01	0.25	0.08	0.24	0.11	0.03	0.22	0.18	0	0	1.31	0	POSTN|EBF2|SLC26A7|LMX1A|SLC17A8	""	""	""														
C4-230 Post-1 GLU-1 EBF2 IL1RAPL2	0.01	0.27	0.07	0.08	0	0.03	0.33	0.04	0.21	0.01	1.17	0.07	ADH1B|EBF2|NEUROD6|LMX1A|EBF3	MAM	#FFE926	C465-47: Th.Ebf3.Lmx1a.GLU-2	0.923	1	0.08	0.01	0.25	0.42	0	0	0.05	0.05	0.87	0.01	0.5	0.19
C4-247 Post-1 GLU-3 AGTR1 EBF2	0.01	0.39	0.07	0.14	0.04	0.04	0.32	0	0.16	0	1.03	0.01	CRNDE|LMX1A|CARTPT|TTC6|IRX3	MAM	#FFE926	C465-8: Slc6a3.Pitx2.Irx5.GLU-2	0.978	1	0	0.04	0.24	0.25	0.51	0	0.87	0.08	0.55	0.01	0.52	0.19
C3-12 Ependymal Ependymocytes	0	0.16	0.01	0.05	0.01	0.11	0.19	0	1.69	0.04	0.22	0.01	CFAP299|DTHD1|CFAP157|ADGB|CFAP73	""	""	""														
C4-250 Post-1 GLU-3 CBLN2 CHST9	0	0.18	0.07	0.13	0.02	0.02	0.39	0.03	0.36	0	1.42	0.01	IRX3|LMX1A|CRNDE|CHST9|CARTPT	MAM	#FFE926	C465-11: Rxfp1.Irx5.GLU-2	0.902	1	0.01	0.02	0.32	0.76	0.1	0	0.03	0.13	0.62	0.03	0.63	0.1
C4-221 Post-1 GLU-1 ZEB2 IGF1	0	0.28	0.04	0.05	0	0.01	0.48	0.01	0.05	0	1.22	0.17	AP005242.1|AP003062.2|EBF2|NEUROD6|FOXA1	""	""	C465-48: Rxfp1.Lmx1a.GLU-2	0.744	1	0.03	0.02	0.44	0.29	0.02	0	0.06	0.05	0.37	0.02	0.66	0.94
C4-229 Post-1 GLU-1 ZNF676 CDH23	0	0.27	0.07	0.1	0.03	0.04	0.31	0.01	0.01	0.02	1.29	0.01	LMX1A|TTC6|CDH23|LMX1B|FOXA1	""	""	""														
C4-252 Post-1 GLU-4 THSD7B PTH2R	0	0.17	0.1	0.1	0	0.07	0.32	0.01	0	0	1.1	0.02	LMX1A|NTS|CDH23|LMX1B|TTC6	""	""	""														
C4-248 Post-1 GLU-3 AGTR1 EPB41L4A	0	0.24	0.07	0.13	0.41	0.02	0.32	0.01	0.15	0.01	1.39	0.01	LMX1A|CRNDE|IRX3|CARTPT|TTC6	MAM	#FFE926	C465-10: Pard3b.Nts.Irx5.GLU-2	0.936	2	0	0	0.27	0.24	0.05	0	0.11	0.09	0.58	0.01	0.43	0.17
C4-220 Post-1 GLU-1 ZEB2 VIP	0	0.43	0.04	1.85	0	0	0.4	0.01	0.03	0.04	1.17	0.03	VIP|C1QL1|LMX1A|TTC6|AP005242.1	""	""	C465-48: Rxfp1.Lmx1a.GLU-2	0.762	1	0.03	0.02	0.44	0.29	0.02	0	0.06	0.05	0.37	0.02	0.66	0.94
C3-18 Oligo-Mature-1 NEDD4L	0	0.14	0.02	0.03	0	0.06	0.21	0	0.13	0	0	0	""	""	""	""														
C4-225 Post-1 GLU-1 ZNF676 HMCN1	0	0.22	0.03	0.14	0.13	0.03	0.37	0	0.2	0	1.21	0	LMX1A|CRNDE|TTC6|HMCN1|BARHL1	""	""	C465-4: Egflam.Lmx1a.Pitx2.Irx5.GLU-2	0.754	1	0.01	0.01	0.31	0.44	0.61	0	0.36	0.07	0.62	0.02	0.29	0.15
C4-219 Post-1 GLU-1 ZEB2 SLC26A7	0	0.46	0.04	0.41	0	0	0.39	0	0	0.02	1.55	0.17	SLC26A7|C1QL1|LMX1A|TTC6|EBF2	""	""	C465-48: Rxfp1.Lmx1a.GLU-2	0.929	1	0.03	0.02	0.44	0.29	0.02	0	0.06	0.05	0.37	0.02	0.66	0.94
C4-223 Post-1 GLU-1 ZNF676 EBF2	0	0.14	0.06	0.15	0.03	0.01	0.29	0	0.14	0	0.95	0.07	TTC6|LMX1A|CDH23|EBF2|FSHR	""	""	C465-7: Irx3.Lmx1a.Pitx2.Irx5.GLU-2	0.819	1	0.03	0.01	0.2	0.46	0.04	0	0.26	0.08	0.57	0.04	0.38	0.12
C4-253 Post-1 GLU-4 THSD7B SGCG	0	0.27	0.06	0.13	0	0.05	0.28	0.02	0.04	0.01	0.94	0.01	EBF2|NTS|LMX1A|FSHR|SGCG	""	""	C465-5: Cdh23.Lmx1a.Pitx2.Irx5.GLU-2	0.768	1	0.02	0.04	0.3	0.28	0.02	0	0.04	0.05	0.59	0.08	0.53	0.09
C4-254 Post-1 GLU-4 THSD7B FAM83B	0	0.26	0.05	0.13	0.01	0.04	0.24	0.05	0.03	0.01	0.78	0	NTS|EBF2|FAM83B|CDH23|LMX1A	""	""	""														
C4-218 Post-1 GLU-1 ZEB2 FREM2	0	0.18	0.04	0.47	0.01	0.02	0.35	0.01	0.13	0	1.36	0.09	AP005242.1|EBF2|LMX1A|ITGA4|EBF3	""	""	C465-48: Rxfp1.Lmx1a.GLU-2	0.871	1	0.03	0.02	0.44	0.29	0.02	0	0.06	0.05	0.37	0.02	0.66	0.94
C4-215 Post-1 GLU-1 EBF2 SCGN	0	0.13	0.07	0.08	0.23	0.07	0.21	0.03	0.19	0.01	1.17	0.02	EBF2|LMX1A|DMRTA2|TTC6|AP005242.1	""	""	""														
C4-255 Post-1 GLU-4 THSD7B IL1RAPL2	0	0.3	0.05	0.12	0	0.05	0.29	0.02	0.02	0.02	1.22	0.02	EBF2|LMX1A|EBF3|BMP5|THSD7B	""	""	""														
C4-258 Post-1 GLU-4 NDNF FBN2	0	0.29	0.06	0.07	0.49	0.02	0.21	0.01	0.01	0.01	1.11	0.01	NTS|LMX1A|CDH23|LMX1B|KCNMB2	LH/LPOA	#0D00FF	""														
C4-259 Post-1 GLU-4 NDNF COBLL1	0	0.34	0.02	0.06	0.05	0.01	0.31	0	0	0.01	1.06	0	COBLL1|CDH23|LMX1A|NDNF|BTNL9	LH/LPOA	#0D00FF	""														
