reduction	mixingknn	mean_knn_purity	asw	method	ndim	features_ngenes	scvi_params	nlayers	max_epochs	dropout_rate
scVI_0_250_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_da49cb490e2ce1b7d8860ebe7ecf1ae8	0.453867224188554	0.458032773820659	0.0434180737278807	scVI	80	1500	250_0.1_2_256	2	250	0.1
scVI_0_250_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_3fbebf6d86727027bbd4f6ae5a060a9e	0.453098064222762	0.460928100775316	0.0487287317481032	scVI	80	2000	250_0.1_2_256	2	250	0.1
scVI_0_250_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_77c9e874af1ea31dc99786f5100781bf	0.448053110013741	0.457892704299152	0.0550878226878173	scVI	80	2500	250_0.1_2_256	2	250	0.1
scVI_0_250_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_95895c3d09d848b8289418d35d02c2d1	0.442238995838928	0.458281971086617	0.0554460257996062	scVI	80	3000	250_0.1_2_256	2	250	0.1
scVI_0_250_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_b021c4a69cd8c1f8157300f957fb5e02	0.441469835873137	0.460799836711223	0.0572981998402109	scVI	80	3500	250_0.1_2_256	2	250	0.1
scVI_0_250_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_dd963056707fa7e59dd86f0d09f83d2c	0.456873758068563	0.447568111424379	0.0801225240738463	scVI	50	1500	250_0.1_3_256	3	250	0.1
scVI_0_250_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_ebe73843ce399292b23532905692612f	0.452775783516888	0.447809534674752	0.0794159997968154	scVI	50	2000	250_0.1_3_256	3	250	0.1
scVI_0_250_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_4322c77d85b0f1235e09023bcb0eaf60	0.441469835873137	0.446532179839058	0.0729708218699457	scVI	50	2500	250_0.1_3_256	3	250	0.1
scVI_0_250_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_12dd30cc109e7d37398b436610a9430a	0.447283950047949	0.441967938181028	0.0723878103113951	scVI	50	3000	250_0.1_3_256	3	250	0.1
scVI_0_250_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_a330a1cd562bc663eebf4bd9d636cdca	0.442238995838928	0.44473407326797	0.0735536911045899	scVI	50	3500	250_0.1_3_256	3	250	0.1
scVI_0_250_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_ffde4d59a761bb15c858c7ca3d9914c3	0.457642918034354	0.449645476998232	0.0819346849385816	scVI	80	1500	250_0.1_3_256	3	250	0.1
scVI_0_250_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_cf1c00663191df6d8889627235dc0bed	0.453867224188554	0.445309212068044	0.0788658217927138	scVI	80	2000	250_0.1_3_256	3	250	0.1
scVI_0_250_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_a86f1325ed6708dfe905993600b870fb	0.448053110013741	0.445515012747606	0.0755449017846818	scVI	80	2500	250_0.1_3_256	3	250	0.1
scVI_0_250_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_dac9849d076c8f9e0dc4bcc2e5693fdd	0.447283950047949	0.442348133070022	0.0775103223260954	scVI	80	3000	250_0.1_3_256	3	250	0.1
scVI_0_250_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_647bcc7003549ecbf66ac93fabbf4944	0.441469835873137	0.443061936351246	0.0734544092479075	scVI	80	3500	250_0.1_3_256	3	250	0.1
scVI_0_400_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_0ebfa02468ca054febda739087f9ad46	0.465495452538179	0.441589842646622	0.0914876300084645	scVI	50	1500	400_0.1_3_256	3	400	0.1
scVI_0_400_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_551635b5772bc6224605b9e02d869c74	0.459681338363366	0.441021091917072	0.085693332557689	scVI	50	2000	400_0.1_3_256	3	400	0.1
scVI_0_400_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_20a5e26e9f4f1c73998dbfbe4ed19792	0.453867224188554	0.44187433742935	0.0855753935701014	scVI	50	2500	400_0.1_3_256	3	400	0.1
scVI_0_400_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_02645096d199b43164d05eeea72c8ca4	0.450091530342753	0.438194618175836	0.0822363488539635	scVI	50	3000	400_0.1_3_256	3	400	0.1
scVI_0_400_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_e790d703bf857b5455e405494b253eca	0.452775783516888	0.437771625220251	0.0797428960848902	scVI	50	3500	400_0.1_3_256	3	400	0.1
scVI_0_400_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_01d29a9180a2598f96d4ab41350f271f	0.463457032209167	0.44660305800376	0.0930199790580392	scVI	80	1500	400_0.1_3_256	3	400	0.1
scVI_0_400_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_305d21ad36e755c244f59c51cba13593	0.459681338363366	0.441266442960449	0.0854487167039829	scVI	80	2000	400_0.1_3_256	3	400	0.1
scVI_0_400_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_0d10584f010798a6b10fbc3a54fbc1f5	0.457642918034354	0.441480724965986	0.0830505572315345	scVI	80	2500	400_0.1_3_256	3	400	0.1
scVI_0_400_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_340ef8655e28706a68f18753f9101785	0.45105964389375	0.437324057968104	0.0831609481738695	scVI	80	3000	400_0.1_3_256	3	400	0.1
scVI_0_400_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_4b46833988d6993c374ec1d157ec907f	0.447283950047949	0.439331295046719	0.079517081940044	scVI	80	3500	400_0.1_3_256	3	400	0.1
scVI_0_50_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_c2033a27fd97856139b7bea4906f415f	0.431880027852523	0.476599111640988	0.0518653797278231	scVI	50	1500	50_0.1_1_256	1	50	0.1
scVI_0_50_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_e2def2108e71a92b42f16a5b6eaf0e1a	0.42606591367771	0.469924397765779	0.052529310643394	scVI	50	2000	50_0.1_1_256	1	50	0.1
scVI_0_50_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_4543e09028d2d72c231bc54d956b19a5	0.417245265622888	0.474500932634851	0.0539680842883134	scVI	50	2500	50_0.1_1_256	1	50	0.1
scVI_0_50_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_f77f61c6bbe0f201048ad35d3ca7a255	0.414437685328084	0.474667545762692	0.053137741420402	scVI	50	3000	50_0.1_1_256	1	50	0.1
scVI_0_50_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_ddb4cfc67948afe1ffa0ef20025491c7	0.40407871734168	0.476766609838429	0.0544741640687963	scVI	50	3500	50_0.1_1_256	1	50	0.1
scVI_0_50_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_14c03e91ab013844f7a2226d1f7a4c34	0.438463301993127	0.46674082404254	0.0342203922207803	scVI	80	1500	50_0.1_1_256	1	50	0.1
scVI_0_50_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_b2ae3f8f9d42bca9b0f2dc81b869cdd7	0.432649187818314	0.468628854552313	0.0368372646068833	scVI	80	2000	50_0.1_1_256	1	50	0.1
scVI_0_50_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_4a594fdb7f0f3e91b334a98bf3cd2cba	0.426835073643501	0.472198850466046	0.0372535986951441	scVI	80	2500	50_0.1_1_256	1	50	0.1
scVI_0_50_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_6a20fdaa608a39d71d88f56d167bff40	0.42229021983191	0.474241132216825	0.039695867053108	scVI	80	3000	50_0.1_1_256	1	50	0.1
scVI_0_50_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_cf5ea94505b12f2aad9a13c61edc8578	0.4192836859519	0.467179404346202	0.0404592991014744	scVI	80	3500	50_0.1_1_256	1	50	0.1
scVI_0_400_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_7e368a6f245f5a3f59b99a7fb62ea42e	0.453867224188554	0.453480216796409	0.0383279632056096	scVI	50	1500	400_0.1_1_256	1	400	0.1
scVI_0_400_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_fd0da97ae521c3ce8f3c9d3e30628581	0.447283950047949	0.453055861177406	0.0353804338928787	scVI	50	2000	400_0.1_1_256	1	400	0.1
scVI_0_400_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_27d0a53c459abd0f7e3541d6505c03a2	0.441469835873137	0.458561771615775	0.0373455329794749	scVI	50	2500	400_0.1_1_256	1	400	0.1
scVI_0_400_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_da1a985a7f428167794a06e03a1fff6f	0.438463301993127	0.454821740462177	0.0335342759163201	scVI	50	3000	400_0.1_1_256	1	400	0.1
scVI_0_400_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_9e00242c537b89d7e452b9528874155f	0.432649187818314	0.459941661899832	0.034467380972205	scVI	50	3500	400_0.1_1_256	1	400	0.1
scVI_0_400_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_e85cd17588dc142e5aade71c7e0eb211	0.450091530342753	0.459339074119355	0.0295291311703937	scVI	80	1500	400_0.1_1_256	1	400	0.1
scVI_0_400_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_0b0ed10ebf6b33ad51c7eee6c09fe0aa	0.447283950047949	0.459115360695616	0.0270845770930141	scVI	80	2000	400_0.1_1_256	1	400	0.1
scVI_0_400_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_1128c44cb060ef091f2721fceb6edf2b	0.442238995838928	0.461199914348832	0.0234935593838296	scVI	80	2500	400_0.1_1_256	1	400	0.1
scVI_0_400_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_515b722b062688cfe14709dd2a600d8a	0.438463301993127	0.462743050531809	0.0255629411298532	scVI	80	3000	400_0.1_1_256	1	400	0.1
scVI_0_400_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_205d69f52e31f78933fe34d6132a55fa	0.436424881664115	0.459372109630251	0.022117859722067	scVI	80	3500	400_0.1_1_256	1	400	0.1
scVI_0_400_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_900042554007f046ceeed2fee56fcf28	0.462365591537501	0.451832212887051	0.0727649035311659	scVI	50	1500	400_0.1_2_256	2	400	0.1
scVI_0_400_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_bd0e318c59fb53a5fde96fb1355aa049	0.453867224188554	0.451023798842765	0.0727325590290106	scVI	50	2000	400_0.1_2_256	2	400	0.1
scVI_0_400_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_c3a60715d344ae88b70d54dd9f0e628d	0.447283950047949	0.450812922266512	0.0705401928831438	scVI	50	2500	400_0.1_2_256	2	400	0.1
scVI_0_400_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_975e6e5c81427b0ae2478dfbdd9e6e8c	0.44427741616794	0.44971278146371	0.0688654932472963	scVI	50	3000	400_0.1_2_256	2	400	0.1
scVI_0_400_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_8856f9fe5eb2e103d8b0d8837dcefca5	0.441469835873137	0.451387276817779	0.0636947593952075	scVI	50	3500	400_0.1_2_256	2	400	0.1
scVI_0_400_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_f6acc7bcf5dd31a283743496c2e21e81	0.462365591537501	0.455298784709395	0.0690324956863627	scVI	80	1500	400_0.1_2_256	2	400	0.1
scVI_0_400_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_c972f065dd48faff3474f987c1f59e98	0.456104598102772	0.455026712825835	0.0685282077197003	scVI	80	2000	400_0.1_2_256	2	400	0.1
scVI_0_400_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_016b815b4b0a78e0c037e2c6e1caded6	0.450290483927959	0.453965947332126	0.065382811930701	scVI	80	2500	400_0.1_2_256	2	400	0.1
scVI_0_400_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_07d0fad51e0cdcc928953bbe5045d0ce	0.44427741616794	0.454657652408196	0.0659684430281023	scVI	80	3000	400_0.1_2_256	2	400	0.1
scVI_0_400_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_511f94e8535108d4b930c94a0286059d	0.44427741616794	0.452771390335534	0.064942756746352	scVI	80	3500	400_0.1_2_256	2	400	0.1
scVI_0_50_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_94994d9bff2abebe0881e431dbd91f71	0.442238995838928	0.475537954680563	0.0583610326488592	scVI	50	1500	50_0.1_2_256	2	50	0.1
scVI_0_50_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_ed75cee57f64fdeb429899f7b97ced6c	0.438463301993127	0.476770185117577	0.0630923471046096	scVI	50	2000	50_0.1_2_256	2	50	0.1
scVI_0_50_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_bf9aa9c607895a1b9f2ffeee0f599a6b	0.431880027852523	0.479422365716175	0.0614182170997514	scVI	50	2500	50_0.1_2_256	2	50	0.1
scVI_0_50_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_bf34bb8d83261b15daca9b159f590d0f	0.42606591367771	0.477440413309287	0.0646061919017589	scVI	50	3000	50_0.1_2_256	2	50	0.1
scVI_0_50_0.1_2_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_1545ff9ba156f46b63992e45ebe9feb4	0.42606591367771	0.47550423312106	0.0652339707038193	scVI	50	3500	50_0.1_2_256	2	50	0.1
scVI_0_50_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_168ec0168d9cc6dea722eba0fb68a838	0.448053110013741	0.472722199510241	0.043656387014304	scVI	80	1500	50_0.1_2_256	2	50	0.1
scVI_0_50_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_abfeaf9da3858e5f49de6e82c0bd9f9c	0.44427741616794	0.474813142571951	0.0488411421069227	scVI	80	2000	50_0.1_2_256	2	50	0.1
scVI_0_50_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_123d19c0f1d599939b935e4cea3b53eb	0.441469835873137	0.47552368102119	0.0515718793471586	scVI	80	2500	50_0.1_2_256	2	50	0.1
scVI_0_50_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_876ce80f1e6f1df12cd8ad0515a5626e	0.432649187818314	0.477414570990504	0.0532062415632331	scVI	80	3000	50_0.1_2_256	2	50	0.1
scVI_0_50_0.1_2_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_57ea1feacf141ba5078aeb1cbe720114	0.432649187818314	0.474359300784317	0.0610517745989859	scVI	80	3500	50_0.1_2_256	2	50	0.1
scVI_0_50_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_db58be75640665ea7622d65241597fa6	0.447283950047949	0.464952065238371	0.0727390876553808	scVI	50	1500	50_0.1_3_256	3	50	0.1
scVI_0_50_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_9696dde9180099e76980cc50529bc729	0.441469835873137	0.463206110591415	0.0722846486418396	scVI	50	2000	50_0.1_3_256	3	50	0.1
scVI_0_50_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_c7fbdf89cad0edf5436d6bbeba20fdc4	0.432649187818314	0.463252201944781	0.0709494762717648	scVI	50	2500	50_0.1_3_256	3	50	0.1
scVI_0_50_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_ffe4215b39c7ede3a5d7af2eff0a73ef	0.42606591367771	0.462341590726848	0.0730271908926204	scVI	50	3000	50_0.1_3_256	3	50	0.1
scVI_0_50_0.1_3_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_0f0a0a1583ac60f9a6cad301f4e72771	0.42606591367771	0.46208999604551	0.0711366276415892	scVI	50	3500	50_0.1_3_256	3	50	0.1
scVI_0_50_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_b6c09dd32f1ec1bb87b9b6ec82e420b5	0.442238995838928	0.466811520257768	0.0695289160079123	scVI	80	1500	50_0.1_3_256	3	50	0.1
scVI_0_50_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2000_8d2f6cba741b8ac312b3317cad817788	0.437371861321461	0.465965050621033	0.0694465642688538	scVI	80	2000	50_0.1_3_256	3	50	0.1
scVI_0_50_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.2500_cfb5889283f1972aeacb6bf464908137	0.432649187818314	0.462115178737767	0.0711125491282077	scVI	80	2500	50_0.1_3_256	3	50	0.1
scVI_0_50_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3000_715c8f4258e02f2c80fbb96cec947471	0.425296753711919	0.46581198357485	0.071770966072156	scVI	80	3000	50_0.1_3_256	3	50	0.1
scVI_0_50_0.1_3_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.3500_fbf8297fd3495e96fdb5092cf57b37d9	0.42606591367771	0.462592069568902	0.0723574674921298	scVI	80	3500	50_0.1_3_256	3	50	0.1
scVI_0_150_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.1500_05d4e03b1bb24a3e60b6c7f10c18e372	0.453867224188554	0.462491145469848	0.0395271336757684	scVI	50	1500	150_0.1_1_256	1	150	0.1
scVI_0_150_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2000_b8437a27744bb4dfe05129ae953ce218	0.447283950047949	0.460984056529179	0.0447902772665472	scVI	50	2000	150_0.1_1_256	1	150	0.1
scVI_0_150_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.2500_b20b2884bc6faf7c6c74e9c9142d7c37	0.441469835873137	0.465727753212087	0.0430947278900704	scVI	50	2500	150_0.1_1_256	1	150	0.1
scVI_0_150_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3000_79a88097fa6984b900e47b0aa28b9ff1	0.437694142027336	0.463082918097323	0.046616598405656	scVI	50	3000	150_0.1_1_256	1	150	0.1
scVI_0_150_0.1_1_256_gene_zinb_cov1..scVI..50..RNA.log.vst.split_Sample_ID.features.3500_c0e8246b77941d1e5c53894ede6bfd8e	0.431880027852523	0.465490769058328	0.0473592696560337	scVI	50	3500	150_0.1_1_256	1	150	0.1
scVI_0_150_0.1_1_256_gene_zinb_cov1..scVI..80..RNA.log.vst.split_Sample_ID.features.1500_ed660a379187344f863faaab8d2c4931	0.459681338363366	0.459895105225128	0.0291940635690554	scVI	80	1500	150_0.1_1_256	1	150	0.1
