human_cluster	MC4R	MC3R	CHAT	NTS	GAL	KISS1	TAC3	LEPR	CRABP1	SIM1	TRH	SLC32A1	top_markers	region	region_color	C4	C3	mouse_cluster	species_cor	from_occ	Mc4r	Mc3r	Chat	Nts	Gal	Kiss1	Tac2	Lepr	Crabp1	Sim1	Trh	Slc32a1
C4-283 Mid-3 GLU-2 OTP AGTR1	0.18	0	0	0.05	0.03	0	0	0.28	0.02	1.15	0.99	0.02	AGTR1|CARTPT|SST|PRDM8|OTP	Vent	#889945	C4-283	C3-102	C465-32: Sst.Tent5a.GLU-2	0.857	1	0.14	0.01	0	0.19	0.28	0.02	0.07	0	0.04	0.55	0.37	0.12
C4-315 Mid-3 GLU-5 TRH	0.18	0	0	1.43	0.07	0.02	0.34	0.32	0.02	0.9	3.35	0.03	G6PC2|TRH|C1orf87|SATB2|BMPR1B	PVN	#884599	C4-315	C3-113	C465-33: Crh.Tent5a.GLU-2	0.71	1	0.09	0	0	0.21	1.04	0.04	0.19	0.05	0.05	0.52	2.45	0.14
C4-17 Pre-1 GABA-1 SEMA3C PTPN14	0.18	0	0	0.01	0.01	0.01	0.37	0.1	0.02	0	0	0.21	CFH|PTPN14|LGR6|VIP|PROK2			C4-17	C3-26															
C4-328 Mid-2 GLU-1 SOX14 CYP19A1	0.18	0	0	0.01	0.01	0.01	0.04	0.27	0.11	0	0.01	0.01	SKOR2|CYP19A1|FAM9B|QRFPR|PTGER3	MPOA	#532E99	C4-328	C3-116	C465-53: Unassigned.Gpr88.Arhgap36.Fezf1.GLU-3	0.805	1	0.26	0.06	0	0.65	0.29	0.36	1.23	0.01	0.03	0.03	0.1	0.13
C4-293 Mid-3 GLU-3 AVP AGRP	0.16	0	0	1.68	0.09	0	0	0.33	0.18	0.93	1.82	0	TH|CARTPT|AGRP|TRH|OTP	PVN	#884599	C4-293	C3-106	C465-15: Cd68.Nfia.Nxph4.GLU-2	0.745	1	0.04	0.01	0	1.87	0.74	0.06	0.04	0	0.01	0.13	1.57	0.16
C4-15 Pre-1 GABA-1 SEMA3C CXCL14	0.15	0	0.01	0.04	0.01	0.02	0.3	0.15	0.1	0	0.01	0.28	CXCL13|CXCL14|SLC25A48|FOXP2|HGF			C4-15	C3-26	C465-314: Cxcl14.Tac1.Meis2.GABA-5	0.922	1	0.04	0.05	0	0.54	0.11	0.01	0.12	0	0.05	0	0.06	1.28
C4-396 Mid-2 GLU-4 WNT7B PRRX1	0.15	0	0	0.05	0.02	0	0.02	0.21	0.12	0.01	0.04	0.19	LEF1|WIF1|RSPO3|TRABD2B|HDC			C4-396	C3-134															
C4-348 Mid-2 GLU-2 SLC22A10 WDR64	0.13	0.03	0	0.01	0.03	0.01	0.01	0.31	0.07	0	0	0	SLC22A10|CCBE1|FEZF1|HS3ST4|PRLR	VMH	#CC3D7D	C4-348	C3-121	C465-64: Stxbp6.Satb2.Cd40.GLU-3	0.907	1	0.14	0.17	0	0.48	0.31	0.01	0.07	0.1	0.02	0.01	0.11	0.12
C4-392 Mid-2 GLU-4 ANKRD30A MBNL3	0.13	0.02	0	0.09	0.09	0.01	0	0.19	0.05	0.01	0	0.03	RASSF6|ONECUT1|MBNL3|NPPC|ANKRD30A			C4-392	C3-133															
C4-206 Pre-2 GABA-4 LHX6 NR0B1	0.13	0	0	0.05	0	0	0.02	0.25	0.04	0	0.02	0.35	NPY|NR0B1|LHX6|MOXD1|CYP19A1			C4-206	C3-78															
C4-21 Pre-1 GABA-1 SEMA3C TAC3	0.13	0	0	0	0	0	0.85	0.19	0.04	0	0	0.31	LGR6|VIP|IGFBP4|SEMA3C|NMBR			C4-21	C3-26	C465-314: Cxcl14.Tac1.Meis2.GABA-5	0.713	1	0.04	0.05	0	0.54	0.11	0.01	0.12	0	0.05	0	0.06	1.28
C4-406 Mid-2 GLU-4 EYA4 NPNT	0.13	0.01	0	0.46	0.04	0.01	0	0.16	0.1	0.04	0.03	0.1	WIF1|LEF1|TBX3|VEGFC|HDC	TMN	#73ABFF	C4-406	C3-136															
C4-345 Mid-2 GLU-2 ARHGAP42 COL15A1	0.13	0.09	0	0.03	0.04	0.01	0.01	0.91	0.01	0.02	0.01	0.02	NR5A1|COL15A1|FEZF1|CCBE1|ARHGAP42	VMH	#CC3D7D	C4-345	C3-120	C465-77: Rreb1.Rai14.Hmcn2.Gpr149.GLU-3	0.959	4	0.01	0.1	0	0.13	0.36	0.03	0.13	0.28	0.02	0.01	0.14	0.15
C4-390 Mid-2 GABA-GLU-3 PGR TAC1	0.12	0.17	0.01	0.23	0.06	1.62	1.11	0.2	0.01	0.02	0.02	0.04	KISS1|NR5A2|SKOR2|PGR|COL22A1	ARC	#993E17	C4-390	C3-132															
C4-16 Pre-1 GABA-1 SEMA3C ITGA8	0.12	0	0	0	0	0.01	0.51	0.16	0.01	0.02	0	0.3	ABI3BP|VIP|ITGA8|CXCL14|IGFBP4			C4-16	C3-26	C465-179: Penk.Chodl.Fam122b.Vipr2.GABA-2	0.758	1	0.01	0	0	0.32	0.14	0.01	0.06	0	0.01	0	0.05	1.13
C4-382 Mid-2 GABA-GLU-3 LEF1 IL1RAPL2	0.12	0	0	0.18	0.03	0.02	0.01	0.24	0.03	0	0.01	0.21	LEF1|IL1RAPL2|CCN3|ANKRD30A|GPC3	TMN	#73ABFF	C4-382	C3-131	C465-228: Prph.Barhl2.Lef1.GABA-1	0.909	1	0.02	0.02	0	0.29	0.6	0.04	0.12	0.05	0.09	0.01	0.11	1.13
C4-117 Mid-1 GABA-4 NTS SATB2	0.12	0	0	1.01	0.76	0.01	0.61	0.32	0.09	0	0.02	0.33	SATB2|PNOC|STK32B|GRIK1|FAM9B	MPOA	#532E99	C4-117	C3-54	C465-277: Crh.Dlx1.Gal.Nts.GABA-1	0.859	1	0.08	0.17	0	0.83	0.96	0	3.39	0	0.01	0.01	0.01	1.61
C4-121 Mid-1 GABA-4 OR8A1 SNTB1	0.12	0	0.02	0.04	0.44	0	0.28	0.26	0.09	0.01	0.05	0.36	NPSR1|SNTB1|RELN|C1QL3|DLK1	MPOA	#532E99	C4-121	C3-55	C465-270: Tac2.Hmx2.Gal.Nts.GABA-1	0.79	1	0.23	0.14	0	1.93	3.95	0.02	2.44	0.01	0	0	0.08	1.68
C4-387 Mid-2 GABA-GLU-3 PGR TRPC6	0.11	0.03	0	0.04	0.02	0.21	0.59	0.21	0.02	0.42	0.02	0	PGR|TBX3|NR5A2|ESR1|TRPC6	ARC	#993E17	C4-387	C3-132	C465-128: Rxfp1.Tac2.GLU-5	0.792	1	0.03	0.15	0	0.07	1.26	2.79	3.91	0.05	0.09	0.01	0.11	0.1
C4-398 Mid-2 GLU-4 WNT7B HMCN1	0.11	0	0	0.22	0.04	0.01	0.1	0.18	0.06	0.01	0.46	0.17	PIK3C2G|RERGL|RSPO3|LEF1|HMCN1			C4-398	C3-134	C465-243: Dlx6os1.Ppp1r17.GABA-1	0.839	1	0.01	0.03	0	0.16	0.69	0.05	0.19	0.02	0.07	0.02	0.2	0.8
C4-391 Mid-2 GABA-GLU-3 PGR TAC3	0.11	0.08	0	0.02	0.02	1.4	1.77	0.17	0.01	0	0.02	0.01	KISS1|SKOR2|UGT2B7|EMP2|PGR	ARC	#993E17	C4-391	C3-132															
C4-326 Mid-2 GLU-1 SOX14 ADCYAP1	0.11	0	0.01	0.02	0.05	0	0.04	0.22	0.09	0	0.01	0.02	SKOR2|SOX14|FAM9B|ADCYAP1|SOX3	MPOA	#532E99	C4-326	C3-116	C465-116: Lpar1.GLU-4	0.739	1	0.01	0.08	0	0.5	0.25	0.05	0.17	0.03	0.03	0.01	0.07	0.12
C4-29 Pre-1 GABA-1 PRKCH PWWP3B	0.1	0	0	0.35	0	0.01	0.87	0.46	0.05	0	0.06	0.31	SLC22A10|SCML4|EBF1|MPPED1|TMEM215			C4-29	C3-27															
C4-295 Mid-3 GLU-3 AVP NTS	0.1	0	0	2.84	0.08	0.01	0	0.25	0.2	0.83	0.06	0.06	NTS|OTP|EBF3|DLK1|CCKAR	PVN	#884599	C4-295	C3-106	C465-16: Sim1.Ebf3.Nxph4.GLU-2	0.729	1	0.09	0.02	0	0.12	0.53	0.04	0.17	0.11	0.02	0.65	0.53	0.16
C4-185 Pre-2 GABA-3 NXPH2 CXCL14	0.1	0	0	0.07	0	0	0.06	0.28	0.05	0	0.01	0.32	NXPH2|LHX6|NR2E1|CXCL14|FREM3	LPOA	#FFE926	C4-185	C3-73	C465-264: Pantr1.Gbx1.Sox6.Lhx8.GABA-1	0.829	1	0.02	0	0	0.61	0.34	0.01	0.1	0.01	0.04	0	0.09	1.73
C4-31 Pre-1 GABA-1 KCNH8 SLC17A8	0.1	0	0	0.89	0	0.01	0.05	0.26	0.04	0	0	0.25	FIGN|MEIS2|TMEM215|SLC17A8|FOXP2			C4-31	C3-28	C465-304: Zfp503.Slc17a8.Bcl11b.Meis2.GABA-5	0.811	2	0.09	0.02	0	1.51	0.29	0.02	0.09	0.01	0.01	0	0.19	1.28
C4-131 Mid-1 GABA-5 TRPC4 SLC38A11	0.1	0	0	0.32	0.96	0	0.03	0.26	0.1	0	0.14	0.42	SLC38A11|NPSR1|PDZRN4|RORB|LEF1			C4-131	C3-57	C465-233: Lef1.Gal.Hmcn1.GABA-1	0.91	2	0.14	0.01	0	0.32	3.32	0.02	0.16	0.02	0.02	0	0.15	1.14
C4-305 Mid-3 GLU-3 CD36 SPTLC3	0.1	0	0	0.1	0.09	0.01	0.19	0.38	0.1	1.01	0.03	0.01	TINAG|SPTLC3|SLC16A12|THSD4|SIM1	MAM	#990073	C4-305	C3-108															
C4-360 Mid-2 GABA-GLU-1 P2RX2 RND3	0.1	0	0	0.02	0.04	0.01	0	0.2	0	0	0	0.32	P2RX2|APBB1IP|ADAMTSL1|LMNTD1|PDE3A	LTN	#179924	C4-360	C3-124	C465-299: Pthlh.Abi3bp.Meis2.GABA-5	0.95	2	0.01	0.01	0.01	0.18	0.25	0.02	0.08	0.02	0.07	0	0.09	1.07
C4-304 Mid-3 GLU-3 CD36 EBF1	0.1	0	0	0.06	0.05	0.01	0.34	0.45	0.07	1.03	0.18	0.01	EBF1|TINAG|CD36|EYA1|GNAT3	MAM	#990073	C4-304	C3-108	C465-130: Gpc3.Bace2.GLU-5	0.825	1	0.1	0.1	0	0.07	0.16	0.04	0.08	0.02	0.06	0.02	0.06	0.09
C4-311 Mid-3 GLU-3 OR10AG1 DACH1	0.09	0	0	1.51	0	0	0	0.3	0.11	0.88	0.01	0.01	EBF3|NTS|COL1A2|NEUROD6|GRIK1			C4-311	C3-110															
C4-344 Mid-2 GLU-2 ARHGAP42 QRFPR	0.09	0.01	0	0.03	0.09	0	0	0.31	0.02	0	0.01	0.01	FEZF1|HS3ST4|DGKK|NR5A1|SLC22A10	VMH	#CC3D7D	C4-344	C3-120	C465-88: Qrfpr.Adamts9.Fezf1.Gpr149.GLU-3	0.819	2	0.02	0.12	0	0.12	0.21	0.01	0.83	0.08	0.02	0.01	0.09	0.11
C4-375 Mid-2 GABA-GLU-3 POMC ANKRD30A	0.09	0.04	0.01	0.27	0.2	0.02	0.01	0.27	0.03	0	0.1	0.13	SOX3|PGR|POMC|TBX3|SFRP2	ARC	#993E17	C4-375	C3-129	C465-124: Glipr1.Pomc.GLU-5	0.781	1	0.06	0.23	0	0.08	0.41	0.13	0.31	0.09	0.19	0	0.06	0.15
C4-264 Mid-3 GLU-1 ONECUT3 AGTR1	0.09	0	0	0.32	0	0	0	0.31	0.03	0	0.23	0.04	AGTR1|RXFP1|C1QL1|MCOLN3|ONECUT3	POA	#F64DFF	C4-264	C3-98	C465-34: Tbr1.Gng8.Samd3.GLU-2	0.787	1	0.05	0	0.01	0.16	0.56	0.03	0.1	0.05	0.02	0.05	0.87	0.39
C4-267 Mid-3 GLU-1 DLK1 MBNL3	0.09	0	0.03	0	0.02	0	0.02	0.44	0.02	0	0.17	0.18	TBR1|POSTN|ZIC2|GHRH|MBNL3			C4-267	C3-99															
C4-378 Mid-2 GABA-GLU-3 PDGFD CALCRL	0.09	0	0	0.45	0.25	0	0.02	0.2	0.18	0.01	0.01	0.21	PIK3C2G|RERGL|TBX3|PLCZ1|VGLL3	ARC	#993E17	C4-378	C3-130	C465-247: Pbx3.Lhx6.GABA-1	0.826	1	0.03	0.01	0	0.12	1.98	0.01	0.13	0.03	0.26	0.01	0.67	1.1
C4-25 Pre-1 GABA-1 SEMA3C COL15A1	0.08	0	0	0.53	0	0.02	0.16	0.33	0.02	0	0	0.17	COL15A1|MEIS2|HMCN1|PLCH1|PDGFD			C4-25	C3-26															
C4-120 Mid-1 GABA-4 OR8A1 SCGN	0.08	0	0.04	0.06	1.64	0	0.01	0.24	0.05	0	0.01	0.31	SCGN|NPSR1|OR8A1|EPHA3|RELN	MPOA	#532E99	C4-120	C3-55	C465-270: Tac2.Hmx2.Gal.Nts.GABA-1	0.869	1	0.23	0.14	0	1.93	3.95	0.02	2.44	0.01	0	0	0.08	1.68
C4-143 Mid-1 GABA-5 RORB GAL	0.08	0.01	0	1.54	2.47	0.01	0.07	0.27	0.06	0	0.09	0.59	ART5|RORB|HMX3|NTS|ECEL1	MPOA	#532E99	C4-143	C3-60	C465-268: Csta2.Hmx2.Gal.Nts.GABA-1	0.911	1	0.09	0.02	0.01	2.05	2.9	0.04	0.35	0.03	0.02	0.01	0.11	1.23
C4-288 Mid-3 GLU-2 ITGA8 RORB	0.08	0.02	0	0.06	0.03	0	0.01	0.52	0.08	0.8	0.51	0.02	ROS1|EBF1|ZIC2|ITGA8|FBN2	LH	#3D61CC	C4-288	C3-104	C465-25: Npas3.Gsc.Ebf1.Trh.GLU-2	0.909	1	0.04	0.1	0.01	0.19	0.42	0.02	0.14	0.03	0.01	0.56	2.44	0.13
C4-195 Pre-2 CHOL-1 MEPE	0.08	0	0.5	0.01	0.03	0	0.26	0.5	0.12	0.01	0	0.03	MEPE|NGFR|SLC5A7|SLC18A3|LHX8	LPOA	#FFE926	C4-195	C3-76	C465-321: Chat.GABA-7	0.895	1	0.01	0.01	1.49	0.25	1.09	0.04	0.32	0.02	0.53	0	0.35	0.55
C4-385 Mid-2 GABA-GLU-3 PGR DNAH11	0.08	0.02	0	0.85	0.03	0.83	0.15	0.17	0.01	0	0.01	0.08	SKOR2|KISS1|DNAH11|VGLL3|PGR	ARC	#993E17	C4-385	C3-132															
C4-136 Mid-1 GABA-5 GAL PGR	0.08	0.06	0.1	1.93	2.55	0.03	0.01	1.27	0.01	0.01	0.08	0.33	MBNL3|NTS|PGR|DLK1|MLIP	ARC	#993E17	C4-136	C3-58	C465-241: Nts.Crh.GABA-1	0.881	1	0.22	0.21	0.03	3.61	2.54	0.04	0.19	0.67	0.03	0	0.08	1.39
C4-397 Mid-2 GLU-4 WNT7B GNB4	0.08	0	0	0.32	0.05	0.01	0.01	0.27	0.07	0.01	0.05	0.01	LEF1|PIK3C2G|EPHA3|WNT7B|PDGFD			C4-397	C3-134															
C4-134 Mid-1 GABA-5 TRPC4 LEF1	0.08	0	0	0.12	0.08	0	0.01	0.2	0.12	0.01	0.01	0.51	LEF1|NPSR1|THSD7B|FAM9B|SULF1			C4-134	C3-57	C465-223: Foxp2.Tmem114.Lef1.GABA-1	0.723	1	0.06	0.01	0	0.22	1.29	0.01	0.09	0.08	0.01	0.01	0.09	1.27
C4-118 Mid-1 GABA-4 NTS ABCG2	0.08	0	0	1.18	0.04	0.01	0.04	0.29	0.06	0.02	0.02	0.39	TMEM114|ESR1|FAM9B|PGR|STK32B	MPOA	#532E99	C4-118	C3-54	C465-274: Tac2.Dlx1.Gal.Nts.GABA-1	0.884	1	0.07	0.07	0	3.44	2.34	0.41	1.67	0.02	0.06	0.01	0.07	1.42
C4-20 Pre-1 GABA-1 SEMA3C PDYN	0.07	0	0	0.01	0	0	0.28	0.22	0.01	0	0.02	0.44	CXCL14|PDYN|DRD1|IGFBP4|COL4A1			C4-20	C3-26															
C4-297 Mid-3 GLU-3 AVP PGF	0.07	0	0	1.53	0.06	0	0.01	0.14	0.11	1.33	0.66	0.02	CRH|CARTPT|AVP|PGF|TH	PVN	#884599	C4-297	C3-106															
C4-343 Mid-2 GLU-2 ARHGAP42 ADAMTSL1	0.07	0.03	0	0.2	0.03	0.01	0.02	0.31	0.02	0.01	0.01	0.01	FEZF1|SATB2|HS3ST4|DGKK|ADAMTSL1	VMH	#CC3D7D	C4-343	C3-120	C465-87: Npas1.Adamts9.Fezf1.Gpr149.GLU-3	0.885	1	0.02	0.07	0	0.09	0.27	0.01	0.13	0.12	0.01	0	0.12	0.11
C4-224 Post-1 GLU-1 ZNF676 NXPH2	0.07	0	0.01	0.21	0	0.01	0	0.29	0.03	0.03	0.03	0.03	LMX1A|CRNDE|LMX1B|NXPH2|TWIST1			C4-224	C3-84	C465-7: Irx3.Lmx1a.Pitx2.Irx5.GLU-2	0.773	1	0.06	0.01	0.01	0.71	0.16	0.01	0.1	0.26	0.03	0.04	0.08	0.12
C4-393 Mid-2 GLU-4 ANKRD30A ADAMTSL3	0.07	0	0.01	0.12	0.1	0.02	0.01	0.35	0.02	0.01	0.01	0.01	LEF1|ANKRD30A|SLC5A7|QPCT|COL12A1			C4-393	C3-133	C465-73: Pou6f2.Esr1.Iigp1.Cd40.GLU-3	0.781	1	0.22	0.02	0	0.08	0.23	0	0.51	0	0.02	0.01	0.04	0.24
C4-383 Mid-2 GABA-GLU-3 LEF1 MUC7	0.07	0	0	0.29	0.06	0.01	0.02	0.21	0.1	0	0.03	0.26	MUC7|PRR27|OPRPN|FDCSP|SMR3B	TMN	#73ABFF	C4-383	C3-131															
C4-349 Mid-2 GLU-2 SLC22A10 CCBE1	0.07	0.05	0	0.02	0.05	0.01	0.01	0.21	0.06	0	0.01	0.01	SLC22A10|PGR|DNAH11|ADAMTSL1|C1QL2	VMH	#CC3D7D	C4-349	C3-121	C465-63: Adarb2.Satb2.Cd40.GLU-3	0.784	1	0.03	0.2	0	0.38	0.28	0.01	0.06	0.03	0.02	0.01	0.09	0.14
C4-153 Mid-1 GABA-6 TRHDE TAC3	0.07	0	0	0.26	0.6	0.01	0.64	0.18	0.35	0	0.02	0.54	SOX6|DLK1|RORB|CDH20	LH	#3D61CC	C4-153	C3-63	C465-232: Tbx19.Gal.Hmcn1.GABA-1	0.727	1	0.02	0.01	0	0.18	3.23	0.04	0.12	0.03	0.08	0.01	0.14	1.14
C4-130 Mid-1 GABA-5 TRPC4 NPSR1	0.07	0	0.01	1.03	0.15	0.02	0.22	0.37	0.15	0.01	0.05	0.52	NPSR1|HMX3|HMX2|CDH12|DLX1			C4-130	C3-57	C465-272: Gpr50.Nts.GABA-1	0.883	1	0.17	0.01	0	0.85	3.37	0.02	3.13	0.04	0.06	0	0.1	1.12
C4-274 Mid-3 GLU-1 OTP SIM1	0.07	0	0	0.28	0.01	0.01	0	0.37	0.09	0.98	0.41	0.04	SIM1|OTP|LHX2|MLIP|ARHGAP36	Thalamaus		C4-274	C3-100															
C4-269 Mid-3 GLU-1 DLK1 CLDN1	0.07	0.01	0	0.1	0.01	0	0.01	0.33	0.19	0	0.08	0.05	TP73|TBR1|POSTN|CLDN1|EMX2			C4-269	C3-99	C465-36: Mab21l1.Tbr1.Meis2.Samd3.GLU-2	0.818	1	0.02	0	0	0.49	0.19	0.02	0.09	0.02	0	0.13	0.06	0.14
C4-122 Mid-1 GABA-4 OR8A1 POU6F2	0.07	0	0.01	0.01	0.61	0.01	0.23	0.21	0.08	0	0.21	0.36	TRPM6|CYSLTR2|TMEM114|OR8A1|POU6F2	MPOA	#532E99	C4-122	C3-55															
C4-256 Post-1 GLU-4 CRNDE EBF2	0.07	0	0.01	1.31	0.05	0.02	0.02	0.28	0.09	0	0.02	0.02	LMX1A|CRNDE|EBF2|BARHL1|IRX6	MAM	#990073	C4-256	C3-95															
C4-401 Mid-2 GLU-4 WNT7B TBX3	0.06	0.01	0.03	0.25	0.01	0.06	0.01	0.14	0.06	0	0.19	0.15	LEF1|TBX3|PIK3C2G|WIF1|RERGL			C4-401	C3-134															
C4-386 Mid-2 GABA-GLU-3 PGR MECOM	0.06	0	0	0.27	0.02	0.07	0.01	0.21	0.02	0.11	0.04	0	PKHD1L1|RFX6|MECOM|PGR|TBX3	ARC	#993E17	C4-386	C3-132	C465-128: Rxfp1.Tac2.GLU-5	0.703	1	0.03	0.15	0	0.07	1.26	2.79	3.91	0.05	0.09	0.01	0.11	0.1
C4-376 Mid-2 GABA-GLU-3 PDGFD PGR	0.06	0.02	0.02	0.51	0.38	0.01	0.02	0.25	0.07	0.02	0.05	0.25	PGR|GABRE|VGLL3|CYSLTR2|TBX3	ARC	#993E17	C4-376	C3-130	C465-255: Crabp1.Sytl4.Tbx3.GABA-1	0.884	1	0.16	0.23	0	0.27	0.57	0.18	0.23	0.05	2.39	0.01	0.1	1.05
C4-47 Pre-1 GABA-3 PAX6 SPHKAP	0.06	0	0	0.02	0	0.01	0.02	0.34	0.05	0	0.05	0.23	FREM2|EYA4|CASR|MOXD1|PAX6			C4-47	C3-33															
C4-227 Post-1 GLU-1 ZNF676 BNC2	0.06	0	0.02	0.04	0.01	0	0	0.4	0.03	0	0	0.03	DMRTA2|TTC6|BNC2|LMX1A|SLC17A8			C4-227	C3-84															
C4-71 Mid-1 GABA-2 CLMP TAC3	0.06	0.03	0	0.07	0.02	0	1.16	0.37	0.02	0	0.02	0.24	KLHL14|ZIC2|PNOC|SLC22A10|FAM9B	SCN	#FF7300	C4-71	C3-43	C465-166: Zic1.Pnoc.Mixed.GABA-2	0.879	1	0.05	0.03	0	0.24	0.41	0.02	0.37	0.06	0.34	0	0.14	1.36
C4-250 Post-1 GLU-3 CBLN2 CHST9	0.06	0	0	0.04	0.08	0.06	0.01	0.39	0.03	0	0.03	0.01	IRX3|LMX1A|CRNDE|CHST9|CARTPT	MAM	#990073	C4-250	C3-93	C465-11: Rxfp1.Irx5.GLU-2	0.902	1	0.02	0.02	0	0.47	0.28	0.01	0.09	0.03	0.07	0.03	0.13	0.1
C4-291 Mid-3 GLU-2 ONECUT3 ZIC2	0.06	0	0	0.02	0.03	0	0	0.22	0.05	1.46	1.28	0.04	PMFBP1|OTP|PRDM8|ZIC2|ONECUT3	LH	#3D61CC	C4-291	C3-105	C465-27: Sncg.Ebf1.Trh.GLU-2	0.921	1	0.07	0.01	0	0.16	0.28	0.01	0.06	0.03	0.02	0.72	1.95	0.09
C4-46 Pre-1 GABA-3 PAX6 SCGN	0.06	0	0	0.28	0	0.02	0.01	0.28	0.25	0	0.1	0.15	PAX6|SCGN|ZIC2|CMTM8|SP8			C4-46	C3-33															
C4-132 Mid-1 GABA-5 TRPC4 TAC3	0.06	0	0	0.09	0.2	0	0.96	0.17	0.12	0	0.08	0.54	RORB|FAM9B|HMX3|MDK|THSD7B			C4-132	C3-57	C465-272: Gpr50.Nts.GABA-1	0.87	1	0.17	0.01	0	0.85	3.37	0.02	3.13	0.04	0.06	0	0.1	1.12
C4-19 Pre-1 GABA-1 SEMA3C SEMA3E	0.06	0	0	0.01	0	0.01	0.68	0.21	0.03	0	0	0.18	CXCL13|CXCL14|SLC25A48|NMBR|FOXP2			C4-19	C3-26															
C4-65 Mid-1 GABA-1 HGF	0.06	0	0	0.22	0.03	0	0.42	0.16	0.11	0.01	0.01	0.4	SATB2|SIX6|APOL4|HGF|NOX4	Perivent	#CC9F5C	C4-65	C3-41	C465-315: Slc6a3.Nfix.Satb2.GABA-6	0.794	1	0.01	0.01	0	0.38	0.8	0.03	0.07	0.02	0.06	0	0.09	1.26
C4-337 Mid-2 GLU-2 CALB1 SATB2	0.06	0	0.01	0.06	0.03	0.01	0.02	0.23	0.04	0	0.01	0	FEZF1|RASSF6|PTH2R|RORB|KCNH8	VMH	#CC3D7D	C4-337	C3-118	C465-50: Gpr149.Unassigned.Fezf1.GLU-3	0.864	1	0.08	0.04	0	0.68	0.24	0.01	0.08	0.03	0.04	0.01	0.12	0.11
